"'Allowance' column title","titolo della colonna 'Allowance'"
"pickPack Validation Key","pickPack convalida chiave"
"Pickup Date","pickup Data"
"Pickup Store Address","Pickup Registra indirizzo"
"Pickup Store Email","Pickup Conservare Email"
"Pickup Store ID","ID Pickup Conservare"
"Pickup Store Phone","Pickup negozio di telefonia"
"Pickup Time","Ora di ritiro"
"Position","Posizione"
"Position custom text box","casella di testo personalizzato Posizione"
"Position of custom attributes","Posizione di attributi personalizzati"
"Position of notes :","Posizione di note:"
"Position of shelving info","Posizione di informazioni scaffalature"
"Position the addresses exactly - for integrated labels","Posizionare gli indirizzi esattamente - per etichette integrate"
"Position the message box exactly","Posizionare la finestra di messaggio esattamente"
"Positionable box position","Posizione scatola posizionabile"
"Pre-cells","Pre-cellule"
"Price column title","Prezzo titolo della colonna"
"Price position","posizione Prezzo"
"Price X-pos.","Prezzo X-pos."
"Prices","Prezzi"
"Prices converted from","I prezzi convertiti da"
"Print All?","Stampa tutto?"
"Print barcode in separate line?","Stampa di codici a barre in linea separata?"
"Print Condition","Stampa Condizioni"
"Print Credit Memos?","Stampa note di credito?"
"Print Invoices?","Fatture di stampa?"
"Print orders once only?","Gli ordini di stampa una volta sola?"
"Print Packingslips?","Stampa Packingslips?"
"Print products label after address label?","prodotti stampa delle etichette dopo etichetta con l'indirizzo?"
"Print resolution","risoluzione di stampa"
"Print Shipping Labels?","Stampa etichette di spedizione?"
"Print supplier attribute?","attributo Stampa fornitore?"
"Priority of custom attribute grouping","La priorità di attributo personalizzato raggruppamento"
"Process date?","Data di processo?"
"Process orders that include out-of-stock items?","ordini di processo che includono oggetti out-of-magazzino?"
"Processing schedule","programma di elaborazione"
"Product Category Label","Categoria prodotto Etichetta"
"Product discount title","titolo di sconto del prodotto"
"Product discount title?","titolo di sconto del prodotto?"
"Product gift message xpos","xpos messaggi prodotto regalo"
"Product id below barcode font-size","id del prodotto sotto il codice a barre font-size"
"Product images?","Immagini del prodotto?"
"Product line nudge","Linea di prodotti gomitata"
"Product line total title","Linea di prodotti titolo totale"
"Product line total title?","Linea di prodotti titolo totale?"
"Product list sort direction :","Prodotto lista Direzione di ordinamento:"
"Product list titlebar padding bot","Lista prodotti barra del titolo imbottitura bot"
"Product list titlebar padding top","Lista prodotti barra del titolo padding superiore"
"Product Name","nome del prodotto"
"Product name position","Posizione Nome del prodotto"
"Product name X-pos.","Nome del prodotto X-pos."
"Product name?","Nome del prodotto?"
"Product names or attributes contain non-roman characters?","I nomi dei prodotti o attributi contengono caratteri non romani?"
"Product Options : Size","Opzioni di prodotto: Formato"
"Product options?","Opzioni prodotto?"
"Product Price x","Prodotto Prezzo x"
"Product SKU barcode?","Prodotto Codice a barre?"
"Product SKU below barcode font-size","Codice prodotto sotto il codice a barre font-size"
"Product SKU below barcode?","Codice prodotto sotto il codice a barre?"
"Product weight?","Peso del prodotto?"
"Product-price Multiplier","Moltiplicatore del prodotto-prezzo"
"Pull from custom attribute","Tirare da attributo personalizzato"
"Purchase order #?","Ordinazione d'acquisto #?"
"Put in separate column","Mettere in colonna separata"
"Puts in total weight, shipping carrier, payment method","Mette in peso, elemento portante di trasporto, modalità di pagamento totale"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","q (Quantità sinistra a spedire), s (Quantità spedito), o (Qty ordinato)"
"Qty column title","titolo della colonna Quantità"
"Qty invoiced","Quantità fatturato"
"Qty left to ship","Quantità sinistra a spedire"
"Qty X-pos.","Quantità X-pos."
"Quote all values in CSV exports?","Quota tutti i valori delle esportazioni CSV?"
"Recalculate","ricalcolare"
"Recommend for long SKU","Consiglia a lungo SKU"
"Reformat address?","Riformattare indirizzo?"
"Reformat?","Riformattare?"
"Regular","Regolare"
"Remove accents from letters in address?","Rimuovere accenti dalle lettere a indirizzo?"
"Remove product tax from subtotal?","Rimuovere fiscale prodotto dal subtotale?"
"Remove shipping tax from","Rimuovere fiscale spedizione dalla"
"Remove shipping tax from subtotal?","Rimuovere imposta il trasporto da subtotale?"
"Remove shipping tax from tax","Rimuovere imposta il trasporto da imposta"
"Repeat gift message?","messaggio regalo di ripetizione?"
"Replace Default ERP Invoice with pickPacks?","Sostituire ERP fattura di default con pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","Sostituire predefinito ERP Imballaggio Foglio con quello da pickPack?"
"Reset","Reset"
"Return address","Indirizzo di ritorno"
"return address - Default","l'indirizzo del mittente - Default"
"return address - Group 1","indirizzo di ritorno - Gruppo 1"
"return address - Group 2","indirizzo di ritorno - Gruppo 2"
"return address - Group 3","indirizzo di ritorno - Gruppo 3"
"Return Address Label : Color","Etichetta Per Indirizzo: Colore"
"Return Address Label : Font","Etichetta Per Indirizzo: Font"
"Return Address Label : Size","Etichetta Per Indirizzo: Size"
"Return Address Label : Style","Etichetta Per Indirizzo: Style"
"Return address text","testo indirizzo di ritorno"
"Right","Destra"
"Right Margin X","Margine destro X"
"Rotate <b>autoCN22</b> page?","Ruota <b> autoCN22 </ b>?"
"Rotate entire label?","Ruotare intera etichetta?"
"Rotate label?","Ruota etichetta?"
"Rotate Product list","Lista prodotti Ruota"
"Rotate return address?","Ruota indirizzo di ritorno?"
"Rotate?","Ruotare?"
"Round cost by ? decimal places","costo Round? decimali"
"Round custom attribute numbers?","numeri di attributi personalizzati rotonda?"
"Round weight by ? decimal places","peso Round? decimali"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","Arrotondamento al 2 decimali può funzionare bene per la visualizzazione prezzo <br /> <i> default:. No </ i>"
"Rule 1?","Regola 1?"
"Rule 2?","Regola 2?"
"Rules are processed in order from low to high priority numbers.<br/>","Le regole vengono elaborate in modo da bassa di numeri ad alta priorità. <br/>"
"Scale Shipping Labels","Etichette della scala di spedizione"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","Vedendo tofu: <b style = "font-size: 200%; font-weight: 100; display: inline; position: relative; top: 5px;"> & # 9647; </ b>?"
"Select Order Attribute To Update","Selezionare l'ordine attributo per aggiornare"
"Separate multiple matches by comma.'","più corrispondenze Separare con una virgola '."
"Seperator 1?","Seperator 1?"
"Seperator 2?","Seperator 2?"
"Server Name","Nome del server"
"Set in 'Shipping Labels' section","Situato nella sezione 'etichette di spedizione'"
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","Situato nella sezione <br 'etichette di spedizione' /> Attivare questa per mostrare ad es. etichette Royal Mail PPI"
"Set Internal Printed Flag?","Impostare interno stampato Flag?"
"Set the currency symbol","Impostare il simbolo di valuta"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","Impostare su bassa per mantenere la dimensione del file basso (ma immagine di sfondo sfocato), impostata su Alta per ottenere uno sfondo tagliente (e la dimensione del file più grande)"
"Settings File","Impostazioni File"
"Shelving attribute","attributo scaffalature"
"Shelving position","posizione di scaffalature"
"Shelving Xpos","scaffalature Xpos"
"Shift Bundle Children Xpos","Spostare Bundle bambini Xpos"
"Ship Date","Data di spedizione"
"shipEasy Connection","shipEasy Connection"
"shipEasy Connection","shipEasy Connection"
"shipEasy flag column #","shipEasy colonna flag #"
"shipEasy flag value?","shipEasy valore di bandiera?"
"Shipping Address","indirizzo di spedizione"
"Shipping address padding","Indirizzo imbottitura Spedizione"
"Shipping address phone?","Spedizione telefono indirizzo?"
"Shipping address title","Titolo Indirizzo di spedizione"
"Shipping Date?","Data di spedizione?"
"Shipping Image #1","Spedizione Immagine # 1"
"Shipping Image #2","Spedizione Immagine # 2"
"Shipping Image #3","Spedizione Immagine # 3"
"Shipping Labels","etichette di spedizione"
"Shipping Method (Default)","Metodo di trasporto (Default)"
"Shipping method?","Metodo di spedizione?"
"Shipping options?","Opzioni di spedizione?"
"Shipping Type","trasportabile"
"Shipping/Billing Title : Style","Spedizione / Fatturazione Titolo: Style"
"Shipping/Billing title position","posizione del titolo / Fatturazione Spedizione"
"Show","Mostrare"
"Show 'Allowance'?","Show 'Allowance'?"
"Show 'Message B' for this group :","Show 'Messaggio B' per questo gruppo:"
"Show 'Message B' for this group :","Show 'Messaggio B' per questo gruppo:"
"Show 'Packed 2 by' note?","Show 'imballato 2 da' appunto?"
"Show 'Packed by' note?","Show 'Imballato dal' notare?"
"Show 'Packed by' note?","Show 'Imballato dal' notare?"
"Show 'total item count'?","Show 'del conteggio totale voce'?"
"Show 'total order count'?","Show 'conteggio totale dell'ordine'?"
"Show 'total paid'?","Show 'totale pagato'?"
"Show 'total shipping paid'?","Show 'trasporto totale pagato'?"
"Show 'Total Taxed Product Value'?","Show 'totale tassato il valore del prodotto'?"
"Show 'Total UnTaxed Product Value'?","Show 'totale non tassato il valore del prodotto'?"
"Show #Order or #Invoice","Mostra #Order o #Invoice"
"Show 0 qty items?","Mostra 0 qty macchine?"
"Show 2nd attribute?","Mostra 2 ° attributo?"
"Show 2nd order custom attribute?","Mostra 2 ° attributo personalizzato ordine?"
"Show 2nd Order ID?","Mostra 2 ° ID ordine?"
"Show 2nd qrcode?","Mostra 2 ° qrcode?"
"Show 2nd?","Mostra 2 °?"
"Show 3rd attribute?","Mostra 3rd attributo?"
"Show address in product label?","Mostra indirizzo in etichetta del prodotto?"
"Show advanced options?","Mostra opzioni avanzate?"
"Show Aitoc Checkout Fields?","Mostra Aitoc Checkout campi?"
"Show Amasty Order Attributes?","Visualizza Amasty Order attributi?"
"Show Amasty order delivery date?","Mostra Amasty data di consegna dell'ordine?"
"Show another attribute?","Mostra un altro attributo?"
"Show as Icon?","Mostra come icona?"
"Show attribute titles?","Visualizza attributo titoli?"
"Show barcode SKU?","Mostra di codici a barre SKU?"
"Show Base Currency values in Subtotals?","Mostra valori valuta di base in subtotali?"
"Show BetaBoxes?","Mostra BetaBoxes?"
"Show billing address at top?","Mostra indirizzo di fatturazione in alto?"
"Show billing address?","Mostra indirizzo di fatturazione?"
"Show billing phone under shipping address ?","Mostra telefono di fatturazione con l'indirizzo di spedizione?"
"Show billing phone?","Mostra telefono di fatturazione?"
"Show Box 1?","Visualizza Box 1?"
"Show Box 2?","La scatola di 2?"
"Show Box 3?","Visualizza Box 3?"
"Show box estimation?","Mostra stima scatola?"
"Show brackets around tax?","Mostra parentesi intorno fiscale?"
"Show bundle parent?","Mostra genitore fascio?"
"Show bundle parents?","Mostra i genitori fascio?"
"Show bundle product children?","Mostra i bambini di prodotti del bundle?"
"Show column titles?","Mostra titoli di colonna?"
"Show cost subtotal?","Mostra subtotale costo?"
"Show Currency Exchange Rate in Subtotals?","Mostra di valuta tasso di cambio nel subtotali?"
"Show custom attribute?","Presentazione personalizzata attributo?"
"Show custom barcode?","Show codice a barre personalizzato?"
"Show custom product attribute (2)?","Show attributo prodotto personalizzato (2)?"
"Show custom product attribute (3)?","Mostra attributo prodotto personalizzato (3)?"
"Show custom product attribute (4)?","Mostra attributo prodotto personalizzato (4)?"
"Show custom product attribute?","Mostra attributo prodotto personalizzato?"
"Show custom product attributes?","Mostra gli attributi di prodotti personalizzati?"
"Show custom product options?","Mostra opzioni di prodotto personalizzati?"
"Show custom qrcode?","Mostra qrcode personalizzato?"
"Show customer email?","Mostra e-mail del cliente?"
"Show customer group?","Mostra gruppo di clienti?"
"Show customer ID?","Mostra ID cliente?"
"Show customer phone?","Mostra telefono del cliente?"
"Show customer VAT number?","Mostra numero di partita IVA del cliente?"
"Show custommer comment?","Mostra commento Custommer?"
"Show date printed?","Mostra data stampata?"
"Show deadline text / date?","Mostra testo di scadenza / data?"
"Show discount?","Mostra di sconto?"
"Show discounts in order subtotal","Guarda gli sconti in ordine subtotale"
"Show discounts in order subtotal'","Guarda gli sconti in ordine subtotale '"
"Show discounts where?","Guarda gli sconti dove?"
"Show discounts?","Guarda gli sconti?"
"Show Earned Points?","Visualizza acquisito punti?"
"Show extended info line?","Mostra estesa linea di informazioni?"
"Show extra shipping details?","Mostra i dettagli di spedizione?"
"Show fixed text?","Mostra il testo fisso?"
"Show fixed-text for non-Store-Pickup orders?","Mostra-testo fisso per gli ordini non-Store-Pickup?"
"Show for bundle children?","Spettacolo per bambini fascio?"
"Show full payment?","Mostra il pagamento completo?"
"Show gift message title 'to/from'","Visualizza regalo titolo del messaggio 'da / per'"
"Show gift message?","Mostra messaggio regalo?"
"Show gift messages?","Mostra messaggi regalo?"
"Show gift wrap message?","Mostra dono messaggio involucro?"
"Show gift wrap style?","Mostra regalo di stile avvolgente?"
"Show giftwrap label?","Mostra etichetta giftwrap?"
"Show Grand Total?","Show Totale generale?"
"Show icon top-of-page for wrap orders?","Mostra icona per gli ordini avvolgere pagina top-of-?"
"Show invoiced date?","Mostra data fatturata?"
"Show items count?","di squadra Mostra articoli?"
"Show logo on Pick Lists?","Mostra logo su liste di prelievo?"
"Show logo on picklists?","Mostra logo su picklists?"
"Show mageworld order delivery date?","Mostra mageworld data di consegna dell'ordine?"
"Show Mageworx Multifees?","Mostra Mageworx Multifees?"
"Show movable Order ID?","Mostra mobile ID ordine?"
"Show name?","Mostra nome?"
"Show on line item' can help reduce customs fees","Mostra sulla voce 'può aiutare a ridurre le tasse doganali"
"Show order column titles?","Mostra ordine titoli delle colonne?"
"Show order comments?","Mostra i commenti di ordine?"
"Show order custom attribute?","Visualizza ordine attributo personalizzato?"
"Show order date?","Mostra data dell'ordine?"
"Show order gift message?","Mostra messaggio regalo ordine?"
"Show Order Grand Total","Mostra ordine Totale generale"
"Show Order ID (above address)?","Visualizza ID ordine (sopra indirizzo)?"
"Show Order ID above address?","Mostra ID ordine sopra l'indirizzo?"
"Show Order ID barcode?","Mostra ordine ID codice a barre?"
"Show Order ID barcodes?","Mostra i codici a barre ID ordine?"
"Show Order ID in product label?","Mostra ID ordine in etichetta del prodotto?"
"Show Order ID?","Mostra ID ordine?"
"Show Order IDs?","Mostra ID ordine?"
"Show order number?","Mostra il numero d'ordine?"
"Show Order Subtotals?","Mostra Subtotale ordini?"
"Show Order Tax Total","Mostra ordertax totale"
"Show Order Total (no Tax)","Mostra ordine totale (non fiscale)"
"Show page title bar?","Mostra pagina barra del titolo?"
"Show parent product name","Mostra il nome del prodotto genitore"
"Show payment method?","Mostra metodo di pagamento?"
"Show phone numbers?","Mostra i numeri di telefono?"
"Show pickup date/time on same line?","Mostra data di ritiro / ora sul stessa linea?"
"Show Point Discount?","Mostra punto di sconto?"
"Show Price?","Chiedi il prezzo?"
"Show prices?","Visualizza tariffe?"
"Show product gift message?","Mostra messaggio prodotto regalo?"
"Show Product Gift-Wrap Column?","Esposizione del prodotto Confezione regalo Colonna?"
"Show Product Grand Total","Esposizione del prodotto Totale generale"
"Show Product ID barcode","Mostra ID prodotto codice a barre"
"Show product ID below barcode?","Mostra ID prodotto al di sotto del codice a barre?"
"Show product images?","Mostra le immagini di prodotti?"
"Show product line total?","Mostra linea di totale prodotto?"
"Show Product list?","Mostra lista dei prodotti?"
"Show product name bold?","Mostra il nome del prodotto in grassetto?"
"Show product name?","Mostra il nome del prodotto?"
"Show product names?","Mostra nomi di prodotti?"
"Show product options?","Mostra opzioni di prodotti?"
"Show Product qty?","Mostra qty prodotto?"
"Show product sku barcode?","Mostra Prodotto Codice a barre?"
"Show product sku?","Mostra Prodotto Codice?"
"Show Product Tax Total","Esposizione del prodotto Totale IVA"
"Show Product Total(no Tax)","Visualizza totale del prodotto (non fiscale)"
"Show product type?","Mostra tipo di prodotto?"
"Show product-level gift messages?","Mostra messaggi regalo a livello di prodotto?"
"Show purchase order #?","Mostra acquisto ordinazione #?"
"Show qty as:","Mostra qty come:"
"Show return address?","Mostra indirizzo di ritorno?"
"Show Sheet Grand Total with Tax/ without Tax","Visualizza foglio Totale generale con imposte / IVA esclusa"
"Show Sheet Total","Visualizza foglio Totale"
"Show Sheet Total with Tax/ without Tax","Visualizza foglio totale con imposte / IVA esclusa"
"Show shelving info?","Mostra info scaffalature?"
"Show Ship Grand Total","Mostra Nave Totale generale"
"Show Ship Tax Total","Mostra Nave Totale IVA"
"Show Ship Total (no Tax)","Visualizza Nave totale (non fiscale)"
"Show shipping address at top?","Mostra indirizzo di spedizione in alto?"
"Show shipping address title?","Mostra titolo indirizzo di spedizione?"
"Show shipping address?","Mostra indirizzo di spedizione?"
"Show shipping carrier?","Mostra elemento portante di trasporto?"
"Show shipping method?","Mostra metodo di spedizione?"
"Show Shipping Price?","Trasporto di esposizione Prezzo?"
"Show Shipping subtotal?","Mostra subtotale spedizione?"
"Show shipping warehouse?","Mostra magazzino di spedizione?"
"Show simple product name","Mostra semplice denominazione di vendita"
"Show SKU?","Mostra SKU?"
"Show Source in subtotal?","Mostra Source nel subtotale?"
"Show specific attribute?","Mostra attributo specifico?"
"Show Spent Points?","Mostra Punti speso?"
"Show stock alert below...","Mostra magazzino avviso qui sotto ..."
"Show stock alerts?","Mostra avvisi magazzino?"
"Show stock qty?","Mostra Qtà?"
"Show subtotal?","Mostra subtotale?"
"Show Subtotals?","Mostra subtotali?"
"Show tax breakdown?","Mostra ripartizione fiscale?"
"Show tax separately?","Mostra fiscale separatamente?"
"Show tickbox 2nd?","Mostra tickbox 2 °?"
"Show tickbox?","Mostra tickbox?"
"Show total discount?","Mostra sconto totale?"
"Show Total Due?","Mostra Total Due?"
"Show Total Order","Mostra ordine totale"
"Show Total Paid?","Pagato spettacolo totale?"
"Show total shipping?","Trasporto di esposizione totale?"
"Show total tax?","Mostra fiscale totale?"
"Show total weight?","Mostra peso totale?"
"Show tracking number as barcode?","Mostra numero di tracking come codice a barre?"
"Show tracking number?","Mostra numero di tracking?"
"Show unit price?","Mostra prezzo unitario?"
"Show unit tax Total","Visualizza Totale imposte unità"
"Show unit tax?","Show imposta unitario?"
"Show which date?","Mostra quale data?"
"Show which Store-Pickup details?","Mostra dettagli che Store-Pickup?"
"Show which value for configurable product names?","Mostra che il valore per i nomi dei prodotti configurabili?"
"Show which value for product names?","Mostra che il valore per i nomi di prodotti?"
"Show WSA Store-Pickup details?","Mostra WSA dettagli Store-Pickup?"
"Show zero-value discount?","Mostra sconto zero valore?"
"Show zero-value shipping?","Trasporto di esposizione zero valore?"
"Show zero-value tax?","Mostra tassa zero-valore?"
"Show Zipcode barcode?","Mostra CAP codice a barre?"
"Show?","Mostrare?"
"Shows item if stock below this; Default: 1","Shows se azione di sotto di questa; Predefinito: 1"
"Shows SKU in red if stock below this number","Spettacoli SKU in rosso se le azione di sotto di questo numero"
"Signature line?","riga della firma?"
"Simple product name","Semplice nome del prodotto"
"Simple product name, even in configurable","Semplice nome del prodotto, anche in configurabili"
"Size","Dimensione"
"Size attribute","attributo size"
"Size X-pos.","Size X-pos."
"SKU barcode column title","SKU titolo della colonna di codici a barre"
"SKU column title","titolo della colonna SKU"
"SKU position","posizione SKU"
"SKU X-pos.","SKU X-pos."
"SKU?","SKU?"
"Small Image","Immagine piccola"
"Sort bundle children?","bambini Sort fascio?"
"Sort by :","Ordina per :"
"Sort direction :","Direzione di ordinamento:"
"Sort items by :","Articoli Ordina per:"
"Sort product lists by :","liste Ordina prodotti per:"
"Sort product lists?","liste Sort prodotto?"
"Sort products by :","Ordina per:"
"Sort Secondary by :","Ordinamento secondario per:"
"Sorting attribute :","Ordinamento attributi:"
"Spacer character:","carattere Spacer:"
"Specific font-size for Town/State/Zip","Specifico font-size per Città / Stato / Codice postale"
"Split &amp; group bundle parents and children/simple-products separately","Split & amp; genitori fascio di gruppo e bambini / semplici prodotti separatamente"
"Split by logged-in user?","Raggruppati per utente connesso?"
"Split PDFs by supplier","PDF Split da parte del fornitore"
"Standard : shipping on left, billing on right","Standard: la spedizione a sinistra, a destra fatturazione"
"Star specific value?","Stella valore specifico?"
"Start from fixed Y-Pos?","Inizia da fisso Y-Pos?"
"Start overflow pages where?","Pagine di avvio di overflow Dove?"
"Start with 'From :' to have that a different size","Inizia con 'From:' avere che una dimensione diversa"
"Status","Stato"
"Stock alert below...","Notifica Scorte di seguito ..."
"Stock alerts?","avvisi archivio?"
"Stock Filter","magazzino Filtro"
"Store","Negozio"
"Strip line breaks and commas?","Striscia di interruzioni di linea e le virgole?"
"Strip linebreaks from non-address fields in CSV exports?","Striscia interruzione di linea da campi non di indirizzi delle esportazioni CSV?"
"Strip linebreaks in gift messages?","Striscia a capo nei messaggi regalo?"
"Strip linebreaks in order comments?","Striscia a capo nei commenti di ordine?"
"Style","Stile"
"Subheadings : Color","Sottotitoli: Colore"
"Subheadings : Font","Sottotitoli: Font"
"Subheadings : Size","Sottotitoli: Dimensioni"
"Subheadings : Style","Tasse incluse."
"Subsection height","Imposta"
"Subtotal align","Tasse incluse."
"Subtotal Labels X-pos","Totale parziale Etichette X-pos"
"Subtotal Numbers X-pos","Numeri subtotale X-pos"
"Suggested : [blank] or 'billing details'","Consigliati: [Vuoto] o "dati di fatturazione '"
"Suggested : [blank] or 'Ship","Consigliato: [vuoto] o 'Ship"
"Suggested : [blank] or 'shipping details'","Consigliati: [Vuoto] o 'i dettagli di spedizione'"
"Supplier  'login'","Fornitore 'login'"
"Supplier attribute","attributo Fornitore"
"Supplier options","opzioni Fornitore"
"Supplier username:suppliername","nome utente fornitore: SupplierName"
"Switched, billing on donw, shipping on up","Switched, fatturazione donw, il trasporto su un massimo"
"Switched, billing on left, shipping on right","Switched, fatturazione a sinistra, la spedizione a destra"
"T: ","T:"
"Take product name from:","Prendere nome del prodotto da:"
"Tax column title","titolo della colonna fiscale"
"Tax display method","metodo di visualizzazione fiscale"
"Tax Incl.","Tasse incluse."
"Tax Label","Etichetta fiscale"
"Tax Label Incl.","Tax Label Incl."
"Tax paid?","Tassa pagata?"
"Teando Delivery Options?","Teando consegna opzioni?"
"Temando Delivery Options?","Temando consegna opzioni?"
"Text","Testo"
"Text for 'Packed 2 by' note :","Testo per 'Pranzo al 2 per' nota:"
"Thailand CN22 Label Image","Thailandia CN22 Label Immagine"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","Ciò richiede il <b> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ b> estensione al lavoro"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","Questa opzione funziona se si è installato caratteristica Confezione Regalo di Magento Enterprise"
"This option will work if you have installed warehouse extension.","Questa opzione funziona se si è installato l'estensione del magazzino."
"This sets: Packing Sheets, Invoices, Picklists.","Questo imposta: fogli di riempimento, fatture, elenchi di selezione."
"This will add an info label at the end of every print run.","Questo aggiungerà un marchio di informazioni al termine di ogni ciclo di stampa."
"This will be added to each order's total weight","Questo sarà aggiunto al peso totale di ogni ordine"
"This will create different pick lists per supplier","Questo creerà diverse liste di prelievo per il fornitore"
"This will group all products by their category (useful for outbound customs declarations)","Questo gruppo tutti i prodotti per la loro categoria (utili per le dichiarazioni doganali in uscita)"
"This will move the image on each label","Ciò si sposta l'immagine su ciascuna etichetta"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","Questo rallenterà la generazione di PDF da un sacco, in modo da lasciare 'No' a meno che non si ha realmente bisogno"
"Thumbnail","Thumbnail"
"Tickbox 2nd Xpos","Tickbox 2 ° Xpos"
"Tickbox 2nd?","2 ° Tickbox?"
"Tickbox Xpos","tickbox Xpos"
"Tickbox?","Casella di spunta?"
"Time","Tempo"
"Tip : Use short title(s) if you choose 'beside'","Suggerimento: Usa titolo breve (s) se si sceglie 'accanto'"
"Title","Titolo"
"Title text","testo del titolo"
"Titlebars Bkg Color","Barre dei titoli Bkg colori"
"Today\'s Date","Data odierna"
"Top address padding","Top imbottitura indirizzo"
"Top Left","A sinistra in alto"
"Top of page","Inizio pagina"
"Top-left Ribbon","Ribbon In alto a sinistra"
"Total invoiced items count?","conteggio totale articoli fatturati?"
"Total items count?","Conteggio totale articoli?"
"Total order count?","Totale ordine contare?"
"Total paid column","colonna pagato Totale"
"Total paid for each SKU?","Totale pagato per ogni SKU?"
"Total paid?","Totale pagato?"
"Total price column title","Totale titolo della colonna prezzo"
"Total product qty title","Totale titolo prodotto Qtà"
"Total shipped items count?","conteggio totale oggetti spediti?"
"Total shipping paid?","Il trasporto totale pagato?"
"Total weight?","Peso totale?"
"Tracking number font size","Il numero di inseguimento dimensione del carattere"
"Tracking Number?","Numero di identificazione?"
"Trigger statuses","status di trigger"
"Trim long content?","Trim contenuti a lungo?"
"Trim long?","Trim a lungo?"
"Trim long SKUs?","Trim lunghi SKU?"
"Trim Product Name","Trim Nome del prodotto"
"Trim Product Name?","Trim Nome del prodotto?"
"Trim SKU?","Trim SKU?"
"Trim?","Trim?"
"Truncate items to fit in columns?","Tronca elementi per adattarsi in colonne?"
"UK CN22 Label Image","UK CN22 Label Immagine"
"Under product-list message","Sotto messaggio product-list"
"Under product-list Message A","Sotto prodotto-list Messaggio A"
"Under product-list Message B","Sotto prodotto-list Messaggio B"
"Under shipping details","Sotto i dettagli di spedizione"
"Unhold?","Unhold?"
"Unit price column title","Unità titolo della colonna prezzo"
"Unit price title","Titolo Prezzo unitario"
"Unit tax title","titolo di imposta unitario"
"Unit tax title?","titolo di imposta unitario?"
"Update after process","Aggiornamento dopo il processo"
"Update Order Attribute","Aggiornamento Ordine attributo"
"Update shipEasy Flag","Aggiornamento shipEasy Flag"
"Upload a .ttf or .otf font file","Carica un file di font .ttf o .otf"
"Upload a .ttf or .otf font file <br />'Font style' settings","Carica un file <br .ttf o .otf carattere /> impostazioni "Stile font""
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","Carica un file <br .ttf o .otf carattere /> impostazioni 'lo stile del carattere' vengono ignorati con font personalizzati"
"Upload a .ttf or .otf font file'Font style' settings","Carica una .ttf o .otf impostazioni di carattere stile file'Font '"
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","Carica un file <br .ttf o .otf carattere /> impostazioni 'lo stile del carattere' vengono ignorati con font personalizzati"
"Upsize + bold qty, if qty = 2+","Upsize qty + grassetto, se qty = 2+"
"USA CN22 Label Image","USA CN22 Label Immagine"
"Use <b>courierRules</b> generated shipping label?","Utilizzare <b> courierRules </ b> etichetta di spedizione generato?"
"Use as a way to constrain the address inside a specific label or area","Utilizzare come un modo per vincolare l'indirizzo interno un'etichetta o area specifica"
"Use GFS Shipping Labels?","Utilizzare GFS etichette di spedizione?"
"Use logged-in language","Utilizzare un linguaggio loggato"
"Use Magento Grand Total?","Utilizzare Magento Totale generale?"
"Use Magento subtotals?","Utilizzare subtotali Magento?"
"Use order storeview language","Utilizzare ordine lingua storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","Utilizzare insieme a 'Aggiorna shipEasy Flag' -> 'Sì, Printed'"
"Use what language and when?","Utilizzare Che lingua e quando?"
"Use which image?","Utilizzare quale immagine?"
"Use which?","Utilizzare che?"
"Uses header logo from Packing Sheet","Utilizza header logo da imballaggio Foglio"
"Using One Step Checkout (Magestore) delivery date","Utilizzando One Step Checkout (Magestore) data di consegna"
"Usually goes at page base - handy for QC","Di solito va alla base pagina - a portata di mano per QC"
"Value","Valore"
"Vert Line","Vert linea"
"Warehouse?","Magazzino?"
"Weight Based number?","Peso numero di base?"
"Weight Based?","Peso base?"
"Weight multiplier","moltiplicatore di peso"
"Weight rounding","peso arrotondamento"
"Weight unit","unità di peso"
"Weight unit:","Unità di peso:"
"What is your word for 'tax'?","Qual è la sua parola per 'tassa'?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","Dove posizionare attributi di prodotto personalizzato sulle picklists <br /> default:. Colonne"
"Which Aitoc attribute codes?","Quali Aitoc attribuire i codici?"
"Which Options?","Quali opzioni?"
"Which value for configurable product names?","Quale valore per i nomi dei prodotti configurabili?"
"Which?","Quale?"
"Width","Larghezza"
"X days after printing date?","X giorni dopo la data di stampa?"
"X-Nudge","X-Nudge"
"X-pos","X-pos"
"X-Pos [434]","X-Pos [434]"
