"'Allowance' column title",""Учет" в заголовке столбца"
"PDF Zebra Label","PDF Zebra этикетки"
"PDF/CSV (Out-of-stock List)","PDF / CSV (Нет в наличии списка)"
"PDF/CSV Out-of-stock List","PDF / CSV Нет в наличии Список"
"PDF/CSV Out-of-stock List Options","PDF / CSV вне запаса Опции Список"
"Pick Lists only","Выберите только списки"
"pickPack","pickPack"
"pickPack Validation Key","pickPack проверки ключа"
"Pickup Date","Подобрать дату"
"Pickup Store Address","Самовывоз Адрес магазина"
"Pickup Store Email","Самовывоз магазин Электронная почта"
"Pickup Store ID","Самовывоз Идентификатор магазина"
"Pickup Store Phone","Самовывоз магазин Телефон"
"Pickup Time","Время забирать"
"Position","Должность"
"Position custom text box","пользовательские текстовое поле Позиция"
"Position of custom attributes","Положение пользовательских атрибутов"
"Position of notes :","Позиция нот:"
"Position of shelving info","Положение стеллаж информации"
"Position the addresses exactly - for integrated labels","Расположите адреса точно - для интегрированных меток"
"Position the message box exactly","Расположите окно сообщения точно"
"Positionable box position","Позиционируемый положение коробки"
"Pre-cells","Предварительно клетки"
"Price column title","Цена Название колонки"
"Price position","позиция Цена"
"Price X-pos.","Цена X-поз."
"Prices","Цены"
"Prices converted from","Цены преобразуются из"
"Print All?","Печатать все?"
"Print barcode in separate line?","Печать штрих-кода в отдельной строке?"
"Print Condition","Печать Состояние"
"Print Credit Memos?","Печать кредитовых авизо?"
"Print Invoices?","Печать счетов-фактур?"
"Print orders once only?","Печать заказов только один раз?"
"Print Packingslips?","Печать Packingslips?"
"Print products label after address label?","Печатная продукция лейбла после того, как адрес этикетки?"
"Print resolution","разрешение печати"
"Print Shipping Labels?","Печать этикетки Доставка товара?"
"Print supplier attribute?","атрибут печати поставщиком?"
"Priority of custom attribute grouping","Приоритет пользовательский атрибут группировки"
"Process date?","дата процесса?"
"Process orders that include out-of-stock items?","Заказы процесса, которые включают в себя отсутствующий товар?"
"Processing schedule","график обработки"
"Product Category Label","Категория продукта Этикетка"
"Product discount title","скидка продукта название"
"Product discount title?","Продукт скидка название?"
"Product gift message xpos","подарок продукта сообщение XPOS"
"Product id below barcode font-size","Идентификатор продукта ниже штрих-кода размера шрифта"
"Product images?","Изображения продукта?"
"Product line nudge","Линейка продуктов подталкивание"
"Product line total title","Производственная линия Общее название"
"Product line total title?","Линия продуктов Общее название?"
"Product list sort direction :","Продукт направление сортировки списка:"
"Product list titlebar padding bot","Список продуктов Titlebar обивка бота"
"Product list titlebar padding top","Список продуктов Titlebar обивка сверху"
"Product Name","наименование товара"
"Product name position","Позиция Название продукта"
"Product name X-pos.","Название X-поз."
"Product name?","Наименование товара?"
"Product names or attributes contain non-roman characters?","Названия продуктов или атрибуты содержат нелатинские символы?"
"Product Options : Size","Параметры продукта: Размер"
"Product options?","Варианты продукта?"
"Product Price x","Продукт Цена х"
"Product SKU barcode?","Артикул штрих-код?"
"Product SKU below barcode font-size","SKU продукта ниже штрих-кода размера шрифта"
"Product SKU below barcode?","SKU продукта ниже штрих-код?"
"Product weight?","Вес изделия?"
"Product-price Multiplier","Продукт-цена тиражирования"
"Pull from custom attribute","Вытащите из пользовательского атрибута"
"Purchase order #?","Заказ на покупку #?"
"Put in separate column","Введена в отдельной колонке"
"Puts in total weight, shipping carrier, payment method","Кладет в общем весе, доставка носителя, способ оплаты"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","Q (Кол-слева корабль), s (Кол-во поставляется), о (Кол-во в заказе)"
"Qty column title","Кол-во в заголовке столбца"
"Qty invoiced","Кол-во выставлен счет"
"Qty left to ship","Кол-влево для того чтобы грузить"
"Qty X-pos.","Кол-во X-поз."
"Quote all values in CSV exports?","Цитировать все значения в экспорте CSV?"
"Recalculate","пересчитывать"
"Recommend for long SKU","Рекомендуется для длительного SKU"
"Reformat address?","Переформатирование адрес?"
"Reformat?","Переформатировать?"
"Regular","регулярное"
"Remove accents from letters in address?","Удалить из акцентов букв в адресе?"
"Remove product tax from subtotal?","Удалить налог продукта из итога?"
"Remove shipping tax from","Удалить доставки налог с"
"Remove shipping tax from subtotal?","Удалить доставки налог с итога?"
"Remove shipping tax from tax","Удалить доставки налог от налога"
"Repeat gift message?","Повторите подарок сообщение?"
"Replace Default ERP Invoice with pickPacks?","Заменить По умолчанию ERP-фактуру с pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","Заменить По умолчанию ERP упаковочный лист с одной из pickPack?"
"Reset","Сброс"
"Return address","Обратный адрес"
"return address - Default","обратный адрес - По умолчанию"
"return address - Group 1","Обратный адрес - Группа 1"
"return address - Group 2","Обратный адрес - Группа 2"
"return address - Group 3","Обратный адрес - Группа 3"
"Return Address Label : Color","Обратный адрес Этикетка: Цвет"
"Return Address Label : Font","Обратный адрес Этикетка: Шрифт"
"Return Address Label : Size","Обратный адрес Метка: Размер"
"Return Address Label : Style","Обратный адрес Этикетка: Стиль"
"Return address text","Вернуться Текст адрес"
"Right","Правильно"
"Right Margin X","Правое поле X"
"Rotate <b>autoCN22</b> page?","Поворот <B> autoCN22 </ b> страница?"
"Rotate entire label?","Поверните всю этикетку?"
"Rotate label?","Поворот ярлык?"
"Rotate Product list","Вращая список товаров"
"Rotate return address?","Поворотом обратный адрес?"
"Rotate?","Поворот?"
"Round cost by ? decimal places","Круглый стоимость мимо? знаков после запятой"
"Round custom attribute numbers?","Круглые пользовательские номера атрибутов?"
"Round weight by ? decimal places","Круглый вес путем? знаков после запятой"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","Округление до 2-х знаков после запятой может работать наилучшим образом для отображения цен <br /> <я> По умолчанию: Нет. </ I>"
"Rule 1?","Правило 1?"
"Rule 2?","Правило 2?"
"Rules are processed in order from low to high priority numbers.<br/>","Правила обрабатываются в порядке от низкого до высокого приоритета чисел. <br/>"
"Scale Shipping Labels","Шкала Маркировка грузов"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","Видя тофу: <б стиль = "размер шрифта: 200%; начертание шрифта: 100; дисплей: встроенный; положение: относительная; сверху: 5px;"> & # 9647; </ b>?"
"Select Order Attribute To Update","Выберите Order Атрибут обновить"
"Separate multiple matches by comma.'","Разделите несколько матчей через запятую "."
"Seperator 1?","Seperator 1?"
"Seperator 2?","Seperator 2?"
"Server Name","Имя сервера"
"Set in 'Shipping Labels' section","Установить в разделе "Доставка Ярлыки""
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","Установить в разделе <br "доставка Ярлыки" /> Включите эту опцию, чтобы показать, например. Royal Mail ИЦП этикетки"
"Set Internal Printed Flag?","Установить внутренний Печатный флаг?"
"Set the currency symbol","Установить символ валюты"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","Установите Low, чтобы сохранить размер файла низкий (но фоновое изображение размытое), установлен высокий, чтобы получить четкий фон (и больший размер файла)"
"Settings File","Параметры файла"
"Shelving attribute","атрибут Стеллаж"
"Shelving position","Стеллаж положение"
"Shelving Xpos","Стеллаж XPOS"
"Shift Bundle Children Xpos","Сдвиг Bundle Дети XPOS"
"Ship Date","Корабль Дата"
"shipEasy Connection","shipEasy соединения"
"shipEasy Connection","shipEasy соединения"
"shipEasy flag column #","shipEasy колонка флаг #"
"shipEasy flag value?","Значение флага shipEasy?"
"Shipping Address","Адрес доставки"
"Shipping address padding","Адрес для доставки обивка"
"Shipping address phone?","Адрес для доставки телефона?"
"Shipping address title","Название Адрес доставки"
"Shipping Date?","Дата отгрузки?"
"Shipping Image #1","Доставка Изображение # 1"
"Shipping Image #2","Доставка Изображение # 2"
"Shipping Image #3","Доставка Изображение # 3"
"Shipping Labels","Маркировка грузов"
"Shipping Method (Default)","Способ доставки (по умолчанию)"
"Shipping method?","Способ доставки?"
"Shipping options?","Варианты доставки?"
"Shipping Type","Доставка Тип"
"Shipping/Billing Title : Style","Доставка / Billing Название: Стиль"
"Shipping/Billing title position","Доставка / Платежная позиция в заголовке"
"Show","Показать"
"Show 'Allowance'?","Show 'Резерв'?"
"Show 'Message B' for this group :","Show 'Сообщение B' для этой группы:"
"Show 'Message B' for this group :","Show 'Сообщение B' для этой группы:"
"Show 'Packed 2 by' note?","Показать 'Упакованные 2 по' отметить?"
"Show 'Packed by' note?","Show "упакованный" к сведению?"
"Show 'Packed by' note?","Show "упакованный" к сведению?"
"Show 'total item count'?","Show 'Общее количество элементов "?"
"Show 'total order count'?","Показывает "общее количество заказа?"
"Show 'total paid'?","Show 'общая сумма выплат?"
"Show 'total shipping paid'?","Show 'общая доставка оплачивается?"
"Show 'Total Taxed Product Value'?","Show 'Total откупных Value продукта?"
"Show 'Total UnTaxed Product Value'?","Show 'Total Value необлагаемых налогом продукта?"
"Show #Order or #Invoice","Показать или #Invoice # Заказать"
"Show 0 qty items?","Показать 0 кол-во пунктов?"
"Show 2nd attribute?","Показать 2-й атрибут?"
"Show 2nd order custom attribute?","Показать 2-го порядка пользовательский атрибут?"
"Show 2nd Order ID?","Показать 2-го порядка ID?"
"Show 2nd qrcode?","Показать 2-й QRCode?"
"Show 2nd?","Показать 2-е место?"
"Show 3rd attribute?","Показать 3-й атрибут?"
"Show address in product label?","Показать адрес в этикетке продукта?"
"Show advanced options?","Показать дополнительные опции?"
"Show Aitoc Checkout Fields?","Показать AITOC Checkout Fields?"
"Show Amasty Order Attributes?","Показать Amasty Заказать Атрибуты?"
"Show Amasty order delivery date?","Показать Amasty дату доставки заказа?"
"Show another attribute?","Показать другой атрибут?"
"Show as Icon?","Показать как Icon?"
"Show attribute titles?","Показать атрибут названия?"
"Show barcode SKU?","Показать штрих-код SKU?"
"Show Base Currency values in Subtotals?","Показать базовые значения валют в подытогами?"
"Show BetaBoxes?","Показать BetaBoxes?"
"Show billing address at top?","Показать адрес для выставления счета на вершине?"
"Show billing address?","Показать платежный адрес?"
"Show billing phone under shipping address ?","Показать платежный телефон по адресу доставки?"
"Show billing phone?","Показать платежный телефон?"
"Show Box 1?","Показать Box 1?"
"Show Box 2?","Показать Box 2?"
"Show Box 3?","Показать Box 3?"
"Show box estimation?","Показать оценку коробки?"
"Show brackets around tax?","Показать скобки налога?"
"Show bundle parent?","Показать расслоение родителей?"
"Show bundle parents?","Показать расслоение родителей?"
"Show bundle product children?","Показать расслоение детей продукции?"
"Show column titles?","Показывать заголовки столбцов?"
"Show cost subtotal?","Показать стоимость итога?"
"Show Currency Exchange Rate in Subtotals?","Показать валюты Курс в подытогами?"
"Show custom attribute?","Показать пользовательский атрибут?"
"Show custom barcode?","Показать пользовательские штрих-код?"
"Show custom product attribute (2)?","Показать атрибут пользовательского продукта (2)?"
"Show custom product attribute (3)?","Показать атрибут пользовательского продукта (3)?"
"Show custom product attribute (4)?","Показать атрибут пользовательского продукта (4)?"
"Show custom product attribute?","Показать пользовательский атрибут продукта?"
"Show custom product attributes?","Показать атрибуты пользовательских продуктов?"
"Show custom product options?","Показать пользовательские параметры продукции?"
"Show custom qrcode?","Показать пользовательский QRCode?"
"Show customer email?","Показать электронную почту клиента?"
"Show customer group?","Показать группу клиентов?"
"Show customer ID?","Показать идентификатор клиента?"
"Show customer phone?","Показать телефон клиента?"
"Show customer VAT number?","Показать клиентов номер НДС?"
"Show custommer comment?","Показать Custommer комментарий?"
"Show date printed?","Показать дату печатается?"
"Show deadline text / date?","Показать крайний текст / дата?"
"Show discount?","Показать скидку?"
"Show discounts in order subtotal","Показать скидки в порядке промежуточный итог"
"Show discounts in order subtotal'","Показать скидки в порядке итога '"
"Show discounts where?","Показать скидки, где?"
"Show discounts?","Показать скидки?"
"Show Earned Points?","Показать Заработанные очки?"
"Show extended info line?","Показать расширенную информационную линию?"
"Show extra shipping details?","Показать дополнительные детали доставки?"
"Show fixed text?","Показать фиксированный текст?"
"Show fixed-text for non-Store-Pickup orders?","Показать фиксированной текст для немагазинной-Самовывоз заказов?"
"Show for bundle children?","Показать для расслоения детей?"
"Show full payment?","Показать полную компенсацию?"
"Show gift message title 'to/from'","Показать сообщение подарок название 'в / из'"
"Show gift message?","Показать сообщение подарок?"
"Show gift messages?","Показать сообщения дар?"
"Show gift wrap message?","Показать итоговое сообщение подарок?"
"Show gift wrap style?","Показать подарок оберточной стиль?"
"Show giftwrap label?","Показать метку заворачивать в подарочную упаковку?"
"Show Grand Total?","Показать Grand Total?"
"Show icon top-of-page for wrap orders?","Показывать значок топ-страницы для заказов обертки?"
"Show invoiced date?","Показать выставлением даты?"
"Show items count?","Показывать число пунктов?"
"Show logo on Pick Lists?","Показать логотип в списках выбора?"
"Show logo on picklists?","Показать логотип на picklists?"
"Show mageworld order delivery date?","Показать mageworld дату доставки заказа?"
"Show Mageworx Multifees?","Показать Mageworx Multifees?"
"Show movable Order ID?","Показать движимое ID заказа?"
"Show name?","Показать имя?"
"Show on line item' can help reduce customs fees","Показать на позиции "может помочь уменьшить таможенные сборы"
"Show order column titles?","Показать заголовки столбцов порядка?"
"Show order comments?","Показать комментарии заказа?"
"Show order custom attribute?","Показать заказ пользовательский атрибут?"
"Show order date?","Показать дату заказа?"
"Show order gift message?","Показать подарок сообщение заказа?"
"Show Order Grand Total","Показать заказ Grand Total"
"Show Order ID (above address)?","Показать код заказа (выше адрес)?"
"Show Order ID above address?","Показать идентификатор заказа выше адрес?"
"Show Order ID barcode?","Показать идентификатор заказа штрих-код?"
"Show Order ID barcodes?","Показать идентификатор заказа штрих-коды?"
"Show Order ID in product label?","Показать идентификатор заказа в этикетке продукта?"
"Show Order ID?","Показать идентификатор заказа?"
"Show Order IDs?","Показать идентификаторы заказа?"
"Show order number?","Показать номер заказа?"
"Show Order Subtotals?","Показать заказ подытогами?"
"Show Order Tax Total","Показать тягло заказа Всего"
"Show Order Total (no Tax)","Показать Общая сумма заказа (без Tax)"
"Show page title bar?","Показать строку заголовка страницы?"
"Show parent product name","Показать имя родительского продукта"
"Show payment method?","Показать способ оплаты?"
"Show phone numbers?","Показать номера телефонов?"
"Show pickup date/time on same line?","Отображение даты / времени съемки на одной линии?"
"Show Point Discount?","Показать точки Скидка?"
"Show Price?","Показать цену?"
"Show prices?","Показать цены?"
"Show product gift message?","Показать подарок сообщение о продукте?"
"Show Product Gift-Wrap Column?","Выставка продукта Gift-Wrap колонки?"
"Show Product Grand Total","Выставка продукта Grand Total"
"Show Product ID barcode","Показать идентификатор продукта штрих-кода"
"Show product ID below barcode?","Показать код продукта ниже штрих-код?"
"Show product images?","Показать изображения продукта?"
"Show product line total?","Показать общую линию продукции?"
"Show Product list?","Показать список продуктов?"
"Show product name bold?","Показать название продукта жирным шрифтом?"
"Show product name?","Показать название продукта?"
"Show product names?","Показать названия продуктов?"
"Show product options?","Показать варианты продукта?"
"Show Product qty?","Показать Количество продукта?"
"Show product sku barcode?","Показать штрих-код продукта СКУ?"
"Show product sku?","Показать коды товаров?"
"Show Product Tax Total","Показать продукт Налоговый Всего"
"Show Product Total(no Tax)","Показать общую продукт (без Tax)"
"Show product type?","Показать тип продукта?"
"Show product-level gift messages?","Показать сообщения дар продукт уровня?"
"Show purchase order #?","Показать покупку заказать #?"
"Show qty as:","Показать, как Количество:"
"Show return address?","Показать обратный адрес?"
"Show Sheet Grand Total with Tax/ without Tax","Показать Sheet Grand Total с налогом / без налога"
"Show Sheet Total","Показать Sheet Total"
"Show Sheet Total with Tax/ without Tax","Показать Sheet Total с налогом / без налога"
"Show shelving info?","Показать стеллажи информации?"
"Show Ship Grand Total","Показать Корабль Grand Total"
"Show Ship Tax Total","Показать Корабль Налоги Итого"
"Show Ship Total (no Tax)","Показать Корабль Total (без Tax)"
"Show shipping address at top?","Показать адрес доставки на вершине?"
"Show shipping address title?","Показать доставки название адрес?"
"Show shipping address?","Показать адрес доставки?"
"Show shipping carrier?","Показать доставки перевозчика?"
"Show shipping method?","Показать способ доставки?"
"Show Shipping Price?","Показать стоимость доставки?"
"Show Shipping subtotal?","Показать промежуточный итог доставки?"
"Show shipping warehouse?","Показать доставки склад?"
"Show simple product name","Показать простое название продукта"
"Show SKU?","Показать SKU?"
"Show Source in subtotal?","Показать Источник в промежуточный итог?"
"Show specific attribute?","Показать определенный атрибут?"
"Show Spent Points?","Показать Отработавшие очки?"
"Show stock alert below...","Показать акции предупреждение ниже ..."
"Show stock alerts?","Показать акции оповещения?"
"Show stock qty?","Показать наличии Кол-во?"
"Show subtotal?","Показать промежуточный итог?"
"Show Subtotals?","Показать подытоги?"
"Show tax breakdown?","Показать налоговую разбивку?"
"Show tax separately?","Показать налог отдельно?"
"Show tickbox 2nd?","Показать tickbox 2-й?"
"Show tickbox?","Показать tickbox?"
"Show total discount?","Показать общую скидку?"
"Show Total Due?","Показать Итого Средства?"
"Show Total Order","Показать общую Заказать"
"Show Total Paid?","Показать общую Paid?"
"Show total shipping?","Показать общую доставку?"
"Show total tax?","Показать общую сумму налога?"
"Show total weight?","Показать общий вес?"
"Show tracking number as barcode?","Показать отслеживая номер как штрих-код?"
"Show tracking number?","Показать идентификационный номер?"
"Show unit price?","Показать цену за единицу?"
"Show unit tax Total","Показать блок налог Итого"
"Show unit tax?","Показать единичный налог?"
"Show which date?","Показать, какая дата?"
"Show which Store-Pickup details?","Показать какой магазин-Pickup детали?"
"Show which value for configurable product names?","Показать, какое значение для конфигурируемых названий продуктов?"
"Show which value for product names?","Показать, какое значение для названий продуктов?"
"Show WSA Store-Pickup details?","Показать WSA-магазин PICKUP детали?"
"Show zero-value discount?","Показать нулевой значение скидку?"
"Show zero-value shipping?","Показать нулевой стоимости груза?"
"Show zero-value tax?","Показать налог с нулевым значением?"
"Show Zipcode barcode?","Показать ZipCode штрих-код?"
"Show?","Показать?"
"Shows item if stock below this; Default: 1","Показывает пункт если шток ниже этого; По умолчанию: 1"
"Shows SKU in red if stock below this number","Показывает SKU в красном цвете, если акции ниже этого числа"
"Signature line?","Подпись линия?"
"Simple product name","Простое название продукта"
"Simple product name, even in configurable","Простое название продукта, даже в конфигурируемый"
"Size","Размер"
"Size attribute","атрибут Размер"
"Size X-pos.","Размер X-поз."
"SKU barcode column title","SKU название колонки штрих-кода"
"SKU column title","SKU название колонки"
"SKU position","позиция SKU"
"SKU X-pos.","SKU X-поз."
"SKU?","SKU?"
"Small Image","Маленькое изображение"
"Sort bundle children?","Сортировка расслоение детей?"
"Sort by :","Сортировать по :"
"Sort direction :","Направление сортировки:"
"Sort items by :","Сортировать товары по:"
"Sort product lists by :","списки Сортировка продукции по:"
"Sort product lists?","списки Сортировка продукции?"
"Sort products by :","Сортировать продукты по:"
"Sort Secondary by :","Сортировка Вторичный по:"
"Sorting attribute :","Сортировка атрибута:"
"Spacer character:","Spacer характер:"
"Specific font-size for Town/State/Zip","Конкретные размер шрифта для города / государства / Zip"
"Split &amp; group bundle parents and children/simple-products separately","Split & Amp; групповые расслоение родители и дети / простые продукты по отдельности"
"Split by logged-in user?","Сплит вошедшего в систему пользователя?"
"Split PDFs by supplier","Сплит PDF-файлов по производителям"
"Standard : shipping on left, billing on right","Стандарт: отправка на левый, выставление счетов на право"
"Star specific value?","Звезда конкретное значение?"
"Start from fixed Y-Pos?","Начните с фиксированной Y-Pos?"
"Start overflow pages where?","Начало страницы переполнения где?"
"Start with 'From :' to have that a different size","Начните с "From:", чтобы иметь, что различный размер"
"Status","Положение дел"
"Stock alert below...","Фото предупреждение ниже ..."
"Stock alerts?","оповещения акции?"
"Stock Filter","Фото Фильтр"
"Store","хранить"
"Strip line breaks and commas?","Strip разрывы строк и запятые?"
"Strip linebreaks from non-address fields in CSV exports?","Газа из переносы строк безадресных полей в экспорте CSV?"
"Strip linebreaks in gift messages?","Газа в подарочных переносы строк сообщений?"
"Strip linebreaks in order comments?","Газа в тарии комментариях к заказу?"
"Style","Стиль"
"Subheadings : Color","Подзаголовки: Цвет"
"Subheadings : Font","Подзаголовки: шрифт"
"Subheadings : Size","Подзаголовки: Размер"
"Subheadings : Style","Вкл. налог."
"Subsection height","налог"
"Subtotal align","Вкл. налог."
"Subtotal Labels X-pos","Итого Этикетки X-Pos"
"Subtotal Numbers X-pos","Итого Числа X-полюсная"
"Suggested : [blank] or 'billing details'","Предлагаемые: [пробел] или "платежную информацию""
"Suggested : [blank] or 'Ship","Предлагаемая формулировка: [пробел] или "Корабль"
"Suggested : [blank] or 'shipping details'","Предлагаемые: [пробел] или "Сведения о доставке""
"Supplier  'login'","Поставщика Логин '"
"Supplier attribute","атрибут Поставщик"
"Supplier options","варианты Поставщик"
"Supplier username:suppliername","Имя пользователя Поставщик: SupplierName"
"Switched, billing on donw, shipping on up","Switched, выставление счетов на donw, отправка на вверх"
"Switched, billing on left, shipping on right","Switched, выставление счетов на левой, отправка по праву"
"T: ","Т:"
"Take product name from:","Возьмите название продукта из:"
"Tax column title","Налоговый название колонки"
"Tax display method","Метод Налоговый дисплей"
"Tax Incl.","Вкл. налог."
"Tax Label","Налоговые этикетки"
"Tax Label Incl.","Налоговые этикетки Incl."
"Tax paid?","Уплаченный налог?"
"Teando Delivery Options?","Teando варианты доставки?"
"Temando Delivery Options?","Temando варианты доставки?"
"Text","Текст"
"Text for 'Packed 2 by' note :","Текст для 'Упакованный 2 по' Примечание:"
"Thailand CN22 Label Image","Таиланд CN22 Этикетка Изображение"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","Это нуждается в <B> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ b> расширение работы"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","Эта опция будет работать, если вы установили Подарочная упаковка особенность Magento Enterprise"
"This option will work if you have installed warehouse extension.","Эта опция будет работать, если вы установили расширение хранилища."
"This sets: Packing Sheets, Invoices, Picklists.","Это устанавливает: Упаковка Листы, счетов-фактур, Picklists."
"This will add an info label at the end of every print run.","Это добавит информационную этикетку в конце каждого тиража."
"This will be added to each order's total weight","Это будет добавлено к общему весу каждого заказа"
"This will create different pick lists per supplier","Это позволит создавать различные списки забрать за поставщиком"
"This will group all products by their category (useful for outbound customs declarations)","Эта группа будет все продукты своей категории (полезные для исходящих таможенных деклараций)"
"This will move the image on each label","Это позволит перемещать изображение на каждой этикетке"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","Это приведет к замедлению генерации PDF на много, так что оставить "Нет", если вы на самом деле не нужен"
"Thumbnail","Эскиз"
"Tickbox 2nd Xpos","Tickbox вторая XPOS"
"Tickbox 2nd?","Tickbox 2-й?"
"Tickbox Xpos","Tickbox XPOS"
"Tickbox?","Tickbox?"
"Time","Время"
"Tip : Use short title(s) if you choose 'beside'","Совет: Используйте краткое название (ы), если вы выбираете 'рядом'"
"Title","заглавие"
"Title text","текст заголовка"
"Titlebars Bkg Color","Цвет Bkg заголовки окон"
"Today\'s Date","Сегодняшняя дата"
"Top address padding","Топ адрес обивка"
"Top Left","Верхний левый"
"Top of page","Верх страницы"
"Top-left Ribbon","В левом верхнем углу ленты"
"Total invoiced items count?","кол Всего выставлен счет пунктов?"
"Total items count?","кол Всего товаров?"
"Total order count?","Общий порядок рассчитывать?"
"Total paid column","Всего уплачено колонка"
"Total paid for each SKU?","Всего выплачено по каждому SKU?"
"Total paid?","Итого?"
"Total price column title","Общее название колонки цены"
"Total product qty title","Общее название продукта кол-во"
"Total shipped items count?","Всего кол-погруженных деталей?"
"Total shipping paid?","Общая доставка оплачивается?"
"Total weight?","Общий вес?"
"Tracking number font size","Отслеживание размер шрифта номер"
"Tracking Number?","Номер Отслеживания?"
"Trigger statuses","Trigger статусы"
"Trim long content?","Обрезать длинный содержание?"
"Trim long?","Обрежьте долго?"
"Trim long SKUs?","Обрежьте длинные SKUs?"
"Trim Product Name","Обрезка Наименование"
"Trim Product Name?","Обрежьте Имя продукта?"
"Trim SKU?","Обрежьте SKU?"
"Trim?","Отделка?"
"Truncate items to fit in columns?","Обрезать элементы, чтобы поместиться в колонках?"
"UK CN22 Label Image","Великобритания CN22 Этикетка Изображение"
"Under product-list message","Под продукт-списке сообщений"
"Under product-list Message A","Под продукт-A Список сообщений"
"Under product-list Message B","Под продукт-B Список сообщений"
"Under shipping details","Под доставки деталей"
"Unhold?","Возврат?"
"Unit price column title","Единица название колонки цены"
"Unit price title","Название Цена за единицу"
"Unit tax title","налог Unit название"
"Unit tax title?","Раздел налог название?"
"Update after process","Обновление после процесса"
"Update Order Attribute","Обновление заказа Атрибут"
"Update shipEasy Flag","Обновление shipEasy Флаг"
"Upload a .ttf or .otf font file","Загрузить файл шрифта .ttf или .otf"
"Upload a .ttf or .otf font file <br />'Font style' settings","Загрузить файл <br .ttf или .otf шрифта /> Настройки "стиль шрифта""
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","Загрузить файл <br .ttf или .otf шрифта /> Настройки "стиль шрифта 'игнорируются с пользовательских шрифтов"
"Upload a .ttf or .otf font file'Font style' settings","Загрузить .ttf или .otf настройки шрифта file'Font стиля '"
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","Загрузить файл <br .ttf или .otf шрифта /> Настройки "стиль шрифта 'игнорируются с пользовательских шрифтов"
"Upsize + bold qty, if qty = 2+","Укрупняются + полужирный QTY, если кол-во = 2+"
"USA CN22 Label Image","США CN22 Этикетка Изображение"
"Use <b>courierRules</b> generated shipping label?","Используйте <B> courierRules </ b> генерируется отправка этикетки?"
"Use as a way to constrain the address inside a specific label or area","Использование в качестве способа для ограничения адреса внутри определенной метки или области"
"Use GFS Shipping Labels?","Используйте GFS Маркировка грузов?"
"Use logged-in language","Используйте вошедшего в язык"
"Use Magento Grand Total?","Использование Magento Grand Total?"
"Use Magento subtotals?","Используйте Magento подытоги?"
"Use order storeview language","Использование языка заказа storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","Используйте совместно с "Update shipEasy Флаг '->' Да, Printed '"
"Use what language and when?","Используйте то, что язык и когда?"
"Use which image?","Используйте какое изображение?"
"Use which?","С помощью какой?"
"Uses header logo from Packing Sheet","Использование заголовка логотипа из упаковочного листа"
"Using One Step Checkout (Magestore) delivery date","Использование One Step Checkout (Magestore) срок поставки"
"Usually goes at page base - handy for QC","Обычно идет на странице базы - удобно для контроля качества"
"Value","Стоимость"
"Vert Line","Vert линия"
"Warehouse?","Склад?"
"Weight Based number?","Вес номер На основании?"
"Weight Based?","Вес На основании?"
"Weight multiplier","Вес множитель"
"Weight rounding","Вес округления"
"Weight unit","удельный вес"
"Weight unit:","Блок Вес:"
"What is your word for 'tax'?","Каково ваше слово "налог"?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","Где расположить пользовательские атрибуты продукта на picklists <br /> По умолчанию:. Столбцы"
"Which Aitoc attribute codes?","Какие AITOC коды атрибутов?"
"Which Options?","Какие варианты?"
"Which value for configurable product names?","Какое значение для конфигурируемых названий продуктов?"
"Which?","Который?"
"Width","Ширина"
"X days after printing date?","X дней после печати даты?"
"X-Nudge","X-Сдвинуть"
"X-pos","X-полюсная"
"X-Pos [434]","X-Pos [434]"
"X-Pos.  images 222","X-Pos. изображения 222"
"X-Pos. attr. 2","X-Pos. атр. 2"
"X-Pos. attr. 2 (+ prices col)","X-Pos. атр. 2 (+ цены Col)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Pos. атр. 2 (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. attr. 3","X-Pos. атр. 3"
"X-Pos. attr. 3 (+ prices col)","X-Pos. атр. 3 (+ цены Col)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Pos. атр. 3 (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. barcodes","X-Pos. штрих-коды"
"X-Pos. custom product options","X-Pos. Параметры пользовательских продуктов"
"X-Pos. custom product options (+ prices col)","X-Pos. Варианты на заказ продукции (+ цены COL)"
