"'Allowance' column title","заглавие колона "Помощи""
"Print barcode in separate line?","Отпечатване на баркод в отделен ред?"
"Print Condition","Print Състояние"
"Print Credit Memos?","Печат кредитни известия?"
"Print Invoices?","Отпечатвате фактури?"
"Print orders once only?","Печат на поръчки само веднъж?"
"Print Packingslips?","Печат Packingslips?"
"Print products label after address label?","Печатни продукти етикет след адрес етикет?"
"Print resolution","резолюция на печат"
"Print Shipping Labels?","Отпечатване на етикети за доставка?"
"Print supplier attribute?","Print доставчика атрибут?"
"Priority of custom attribute grouping","Приоритет на персонализирани атрибути групиране"
"Process date?","дата на процеса?"
"Process orders that include out-of-stock items?","поръчки процес, който включва вън-на-на склад?"
"Processing schedule","график Processing"
"Product Category Label","Категория на продукта Label"
"Product discount title","заглавие Каталог отстъпка"
"Product discount title?","Каталог заглавие отстъпка?"
"Product gift message xpos","xpos Каталог подарък за съобщения"
"Product id below barcode font-size","ID на продукта по-долу баркод шрифта"
"Product images?","Продуктови снимки?"
"Product line nudge","Продуктова линия побутване"
"Product line total title","Продуктова линия общо заглавие"
"Product line total title?","Продуктова линия общо заглавие?"
"Product list sort direction :","Каталог посока списък на сортиране:"
"Product list titlebar padding bot","Списък на продуктите заглавна лента подложка бот"
"Product list titlebar padding top","Списък на продуктите заглавна лента подложка отгоре"
"Product Name","Име на продукта"
"Product name position","Име на продукта позиция"
"Product name X-pos.","Име на продукта X-поз."
"Product name?","Име на продукта?"
"Product names or attributes contain non-roman characters?","Наименованията на продуктите или атрибути съдържат не-латински букви?"
"Product Options : Size","Опции на продукта: Размер"
"Product options?","опции продукт?"
"Product Price x","Цена на продукта х"
"Product SKU barcode?","На продукта Код баркод?"
"Product SKU below barcode font-size","На продукта Код долу баркод шрифта"
"Product SKU below barcode?","На продукта Код долу баркод?"
"Product weight?","Тегло на продукта?"
"Product-price Multiplier","Каталог-цена Multiplier"
"Pull from custom attribute","Извадете от потребителски атрибут"
"Purchase order #?","Поръчка #?"
"Put in separate column","Сложете в отделна колона"
"Puts in total weight, shipping carrier, payment method","Поставя в общото тегло, корабоплаването носител, начин на плащане"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","Q (Количество ляво на кораб), S (Брой изпратени), о (Количество нареди)"
"Qty column title","Количество заглавие колона"
"Qty invoiced","Количество фактурирани"
"Qty left to ship","Количество остави да превозва"
"Qty X-pos.","Количество X-поз."
"Quote all values in CSV exports?","Цитирайте всички стойности на износа CSV?"
"Recalculate","Преизчисляване"
"Recommend for long SKU","Препоръчайте за сериозни SKU"
"Reformat address?","Променят формата адрес?"
"Reformat?","Променят формата?"
"Regular","Редовен"
"Remove accents from letters in address?","Премахване акценти от буквите в адрес?"
"Remove product tax from subtotal?","Премахване на данъка върху продукт от междинната сума?"
"Remove shipping tax from","Премахване на данъка върху корабоплаването от"
"Remove shipping tax from subtotal?","Премахване на данъка върху корабоплаването от междинната сума?"
"Remove shipping tax from tax","Премахване на данъка върху корабоплаването от данък"
"Repeat gift message?","Повторете подарък съобщение?"
"Replace Default ERP Invoice with pickPacks?","Сменете Default ERP фактура с pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","Сменете Default ERP Опаковка Sheet с този от pickPack?"
"Reset","Нулиране"
"Return address","адрес за връщане"
"return address - Default","адрес за връщане - по подразбиране"
"return address - Group 1","обратен адрес - Група 1"
"return address - Group 2","обратен адрес - Група 2"
"return address - Group 3","обратен адрес - Група 3"
"Return Address Label : Color","Върнете Адрес етикет: Color"
"Return Address Label : Font","Върнете Адрес етикет: Font"
"Return Address Label : Size","Върни Адрес етикет: Размер"
"Return Address Label : Style","Върнете Адрес етикет: Style"
"Return address text","Върни текст адрес"
"Right","прав"
"Right Margin X","Дясно поле X"
"Rotate <b>autoCN22</b> page?","Завъртане <б> autoCN22 </ B> страница?"
"Rotate entire label?","Завъртете целия етикет?"
"Rotate label?","Завъртете етикет?"
"Rotate Product list","Завъртане списък Каталог"
"Rotate return address?","Завъртете обратен адрес?"
"Rotate?","Завъртете?"
"Round cost by ? decimal places","Кръгла цена от? знака след десетичната запетая"
"Round custom attribute numbers?","Кръгли номера персонализирани атрибути?"
"Round weight by ? decimal places","Кръгла тегло от? знака след десетичната запетая"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","Закръгляване до 2 знака след десетичната запетая може да работи добре за показване на цените <br /> <i> Default:. Не </ i>"
"Rule 1?","Правило 1?"
"Rule 2?","Правило 2?"
"Rules are processed in order from low to high priority numbers.<br/>","Правила, се обработват в реда от нисък до висок приоритет номера. <br/>"
"Scale Shipping Labels","Скала за доставка на етикети"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","Виждайки тофу: <б стил = "шрифт с размер: 200%; шрифт тегло: 100; дисплей: инлайн; позиция: относителна; отгоре: 5px;"> & # 9647; </ б>?"
"Select Order Attribute To Update","Изберете Поръчка Умение да се актуализира"
"Separate multiple matches by comma.'","Разделете отделните населени места със запетая."
"Seperator 1?","SEPERATOR 1?"
"Seperator 2?","SEPERATOR 2?"
"Server Name","Име на сървъра"
"Set in 'Shipping Labels' section","Разположен в раздел "за доставка на етикети""
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","Разположен в раздел <br "за доставка на етикети" /> Активиране на това, за да покаже, напр. Royal Mail PPI етикети"
"Set Internal Printed Flag?","Определете Вътрешен Printed Flag?"
"Set the currency symbol","Определете символ на валута"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","Задава се Low да запази файла ниско (но фоново изображение замъглено), създаден към висока, за да получите по-рязко на фона (и по-голям размер на файла)"
"Settings File","Настройки на файла"
"Shelving attribute","Стелажи атрибут"
"Shelving position","Стелажи позиция"
"Shelving Xpos","стелажи Xpos"
"Shift Bundle Children Xpos","Shift Bundle Деца Xpos"
"Ship Date","кораб Дата"
"shipEasy Connection","shipEasy Connection"
"shipEasy Connection","shipEasy Connection"
"shipEasy flag column #","shipEasy колона флаг #"
"shipEasy flag value?","shipEasy стойност флаг?"
"Shipping Address","Адрес за доставка"
"Shipping address padding","Доставка адрес подложка"
"Shipping address phone?","Адрес за доставка телефон?"
"Shipping address title","Доставка заглавие адрес"
"Shipping Date?","Дата на доставка?"
"Shipping Image #1","Доставка на снимката # 1"
"Shipping Image #2","Доставка на снимката # 2"
"Shipping Image #3","Доставка на снимката # 3"
"Shipping Labels","за доставка на етикети"
"Shipping Method (Default)","Начин на доставка (по подразбиране)"
"Shipping method?","Начин на доставка?"
"Shipping options?","опции за доставка?"
"Shipping Type","Тип Доставка"
"Shipping/Billing Title : Style","Доставка / фактуриране Заглавие: Style"
"Shipping/Billing title position","Доставка позиция / фактуриране заглавие"
"Show","шоу"
"Show 'Allowance'?","Покажи "Помощи"?"
"Show 'Message B' for this group :","Покажи "Message B" за тази група:"
"Show 'Message B' for this group :","Покажи "Message B" за тази група:"
"Show 'Packed 2 by' note?","Покажи "Опаковал 2 от" имайте предвид?"
"Show 'Packed by' note?","Покажи "Опаковал от" имайте предвид?"
"Show 'Packed by' note?","Покажи "Опаковал от" имайте предвид?"
"Show 'total item count'?","Покажи "Общият брой на точка"?"
"Show 'total order count'?","Покажи "Общият брой на ред"?"
"Show 'total paid'?","Покажи "Общата сума, изплатена"?"
"Show 'total shipping paid'?","Покажи "обща доставка плаща"?"
"Show 'Total Taxed Product Value'?","Покажи "Общо облага Стойност на продукта"?"
"Show 'Total UnTaxed Product Value'?","Покажи "Общо необложени Стойност на продукта"?"
"Show #Order or #Invoice","Покажи #Order или #Invoice"
"Show 0 qty items?","Показване на 0 бр елементи?"
"Show 2nd attribute?","Покажи втори атрибут?"
"Show 2nd order custom attribute?","Покажи 2-ри ред обичай атрибут?"
"Show 2nd Order ID?","Покажи втори Поръчка ID?"
"Show 2nd qrcode?","Покажи втори QRCode?"
"Show 2nd?","Покажи втори?"
"Show 3rd attribute?","Покажи 3rd атрибут?"
"Show address in product label?","Покажи адрес в етикета на продукта?"
"Show advanced options?","Показване на разширените възможности?"
"Show Aitoc Checkout Fields?","Покажи Aitoc Checkout Fields?"
"Show Amasty Order Attributes?","Покажи Amasty Поръчка атрибути?"
"Show Amasty order delivery date?","Покажи Amasty дата на доставка ред?"
"Show another attribute?","Покажи още един атрибут?"
"Show as Icon?","Покажи като икона?"
"Show attribute titles?","Покажи атрибут заглавия?"
"Show barcode SKU?","Покажи баркод Код?"
"Show Base Currency values in Subtotals?","Покажи Базови стойности валутата, в междинните суми?"
"Show BetaBoxes?","Покажи BetaBoxes?"
"Show billing address at top?","Покажи адрес за фактуриране в началото?"
"Show billing address?","Покажи адрес за фактуриране?"
"Show billing phone under shipping address ?","Покажи фактуриране телефон под адрес за доставка?"
"Show billing phone?","Покажи фактуриране телефон?"
"Show Box 1?","Покажи Box 1?"
"Show Box 2?","Покажи Box 2?"
"Show Box 3?","Покажи Box 3?"
"Show box estimation?","Покажи оценка кутия?"
"Show brackets around tax?","Покажи скоби около данък?"
"Show bundle parent?","Покажи сноп родител?"
"Show bundle parents?","Покажи разговори родители?"
"Show bundle product children?","Покажи включените деца на продукта?"
"Show column titles?","Показване на колони заглавия?"
"Show cost subtotal?","Покажи цена междинна сума?"
"Show Currency Exchange Rate in Subtotals?","Покажи обменния курс на валутата в междинните суми?"
"Show custom attribute?","Покажи персонализирани атрибути?"
"Show custom barcode?","Покажи обичай баркод?"
"Show custom product attribute (2)?","Покажи потребителски продукт атрибут (2)?"
"Show custom product attribute (3)?","Покажи потребителски продукт атрибут (3)?"
"Show custom product attribute (4)?","Покажи потребителски продукт атрибут (4)?"
"Show custom product attribute?","Покажи потребителски продукт атрибут?"
"Show custom product attributes?","Покажи потребителски характеристики на продукта?"
"Show custom product options?","Покажи опции персонализирани продукти?"
"Show custom qrcode?","Покажи обичай QRCode?"
"Show customer email?","Покажи имейл клиент?"
"Show customer group?","Покажи група клиенти?"
"Show customer ID?","Покажи ID клиент?"
"Show customer phone?","Покажете на клиента телефон?"
"Show customer VAT number?","Покажи номер по ДДС на клиента?"
"Show custommer comment?","Покажи Custommer коментар?"
"Show date printed?","Покажи дата отпечатан?"
"Show deadline text / date?","Покажи срок текст / дата?"
"Show discount?","Покажи отстъпка?"
"Show discounts in order subtotal","Показване на отстъпки, за междинна сума"
"Show discounts in order subtotal'","Показване на отстъпки, за междинна сума ""
"Show discounts where?","Покажи отстъпки къде?"
"Show discounts?","Показване на отстъпки?"
"Show Earned Points?","Покажи спечелените точки?"
"Show extended info line?","Покажи разширено информация линия?"
"Show extra shipping details?","Покажи допълнителни подробности за доставка?"
"Show fixed text?","Покажи фиксиран текст?"
"Show fixed-text for non-Store-Pickup orders?","Покажи фиксиран текст за не-СКЛАД Pickup поръчки?"
"Show for bundle children?","Показване на включените деца?"
"Show full payment?","Покажи пълно плащане?"
"Show gift message title 'to/from'","Покажи подарък заглавие съобщение "от / до""
"Show gift message?","Покажи съобщение подарък?"
"Show gift messages?","Покажи подарък съобщения?"
"Show gift wrap message?","Покажи опаковъчна хартия съобщение?"
"Show gift wrap style?","Покажи подарък стил обвивка?"
"Show giftwrap label?","Покажи етикет giftwrap?"
"Show Grand Total?","Покажи Grand Total?"
"Show icon top-of-page for wrap orders?","Покажи икона най-на-страница за обтичане поръчки?"
"Show invoiced date?","Покажи фактурирания дата?"
"Show items count?","Показване на елементи разчитат?"
"Show logo on Pick Lists?","Покажи лого на Pick списъци?"
"Show logo on picklists?","Покажи лого на picklists?"
"Show mageworld order delivery date?","Покажи mageworld дата на доставка ред?"
"Show Mageworx Multifees?","Покажи Mageworx Multifees?"
"Show movable Order ID?","Покажи движимо Поръчка ID?"
"Show name?","Покажи име?"
"Show on line item' can help reduce customs fees","Покажи по ред "може да помогне за намаляване на митническите такси"
"Show order column titles?","Покажи ред заглавия на колоните?"
"Show order comments?","Покажи коментари поръчка?"
"Show order custom attribute?","Покажи, за персонализирани атрибути?"
"Show order date?","Покажи дата?"
"Show order gift message?","Покажи цел съобщение подарък?"
"Show Order Grand Total","Покажи Поръчка Grand Total"
"Show Order ID (above address)?","Покажи Поръчка ID (по-горе адрес)?"
"Show Order ID above address?","Покажи Поръчка ID-горе адрес?"
"Show Order ID barcode?","Покажи Поръчка ID баркод?"
"Show Order ID barcodes?","Покажи Поръчка ID баркодове?"
"Show Order ID in product label?","Покажи Поръчка ID в етикета на продукта?"
"Show Order ID?","Покажи Поръчка ID?"
"Show Order IDs?","Покажи Поръчка IDs?"
"Show order number?","Покажи номер на поръчката?"
"Show Order Subtotals?","Покажи Поръчка междинните суми?"
"Show Order Tax Total","Покажи Поръчка Данък Общ"
"Show Order Total (no Tax)","Покажи Поръчка Общо (без ДДС)"
"Show page title bar?","Показване на страница заглавната лента?"
"Show parent product name","Покажи име родител продукт"
"Show payment method?","Покажи метод на плащане?"
"Show phone numbers?","Покажи телефонни номера?"
"Show pickup date/time on same line?","Покажи дата пикап / време на една и съща линия?"
"Show Point Discount?","Покажи Point Отстъпка?"
"Show Price?","Покажете цената?"
"Show prices?","Покажи цените?"
"Show product gift message?","Покажи съобщение подарък продукт?"
"Show Product Gift-Wrap Column?","Покажи Каталог на Gift-Wrap Колона?"
"Show Product Grand Total","Покажи Каталог Grand Total"
"Show Product ID barcode","Покажи Продукт ID баркод"
"Show product ID below barcode?","Покажи ID продукт под баркод?"
"Show product images?","Покажи продуктови изображения?"
"Show product line total?","Покажи общата продуктова линия?"
"Show Product list?","Покажи списък на продукта?"
"Show product name bold?","Покажи име на продукт смели?"
"Show product name?","Показване името на продукта?"
"Show product names?","Покажи имена на продукти?"
"Show product options?","Покажи продуктови опции?"
"Show Product qty?","Покажи Продукт Количество?"
"Show product sku barcode?","Показване на продукта Код баркод?"
"Show product sku?","Показване на продукта Код?"
"Show Product Tax Total","Покажи Каталог Tax Общо"
"Show Product Total(no Tax)","Покажи продукта Общо (без ДДС)"
"Show product type?","Покажи тип продукт?"
"Show product-level gift messages?","Покажи съобщения подарък продукт на ниво?"
"Show purchase order #?","Показване на поръчката за покупка #?"
"Show qty as:","Покажи бр като:"
"Show return address?","Покажи обратен адрес?"
"Show Sheet Grand Total with Tax/ without Tax","Покажи Sheet Grand Total с Tax / без Tax"
"Show Sheet Total","Покажи Sheet Общо"
"Show Sheet Total with Tax/ without Tax","Покажи Sheet Общо с Tax / без Tax"
"Show shelving info?","Покажи стелажи информация?"
"Show Ship Grand Total","Покажи Ship Grand Total"
"Show Ship Tax Total","Покажи Ship Данък Общ"
"Show Ship Total (no Tax)","Покажи Ship Общо (без ДДС)"
"Show shipping address at top?","Покажи адрес за доставка на върха?"
"Show shipping address title?","Покажи адрес за доставка в заглавието?"
"Show shipping address?","Покажи адрес за доставка?"
"Show shipping carrier?","Покажи корабоплаването носител?"
"Show shipping method?","Покажи начин за доставка?"
"Show Shipping Price?","Покажи Проверете цената?"
"Show Shipping subtotal?","Покажи Доставка междинна сума?"
"Show shipping warehouse?","Покажи склад корабоплаването?"
"Show simple product name","Покажи просто име на продукт"
"Show SKU?","Покажи Код?"
"Show Source in subtotal?","Покажи Източник в междинната сума?"
"Show specific attribute?","Покажи специфично качество?"
"Show Spent Points?","Покажи Изхабените точки?"
"Show stock alert below...","Покажи склад сигнал долу ..."
"Show stock alerts?","Покажи сигнали фондови?"
"Show stock qty?","Покажи наличност Брой?"
"Show subtotal?","Покажи междинна сума?"
"Show Subtotals?","Покажи междинните суми?"
"Show tax breakdown?","Покажи данък разбивка?"
"Show tax separately?","Покажи данък поотделно?"
"Show tickbox 2nd?","Покажи tickbox втория?"
"Show tickbox?","Покажи tickbox?"
"Show total discount?","Покажи обща отстъпка?"
"Show Total Due?","Покажи Общо Поради?"
"Show Total Order","Покажи Общо Поръчка"
"Show Total Paid?","Покажи Общо платен?"
"Show total shipping?","Покажи общо корабоплаването?"
"Show total tax?","Покажи общата данъчна?"
"Show total weight?","Покажи общо тегло?"
"Show tracking number as barcode?","Покажи номер за проследяване, както баркод?"
"Show tracking number?","Покажи номер за проследяване?"
"Show unit price?","Покажи единична цена?"
"Show unit tax Total","Покажи единица данък Общ"
"Show unit tax?","Покажи единица данък?"
"Show which date?","Покажи коя дата?"
"Show which Store-Pickup details?","Покажи които СКЛАД Pickup подробности?"
"Show which value for configurable product names?","Покажи което стойност за конфигурируеми имена на продукти?"
"Show which value for product names?","Покажи което стойност за имена на продукти?"
"Show WSA Store-Pickup details?","Покажи WSA СКЛАД Pickup подробности?"
"Show zero-value discount?","Покажи нулева стойност отстъпка?"
"Show zero-value shipping?","Покажи нулева стойност на пратката?"
"Show zero-value tax?","Покажи данък нулева стойност?"
"Show Zipcode barcode?","Покажи Пощенски Код баркод?"
"Show?","Покажете?"
"Shows item if stock below this; Default: 1","Показва точка, ако склад под това; По подразбиране: 1"
"Shows SKU in red if stock below this number","Показва SKU в червено, ако склад под този номер"
"Signature line?","Подпис линия?"
"Simple product name","Обикновено име на продукт"
"Simple product name, even in configurable","Обикновено името на продукта, дори в конфигурируеми"
"Size","размер"
"Size attribute","Размер атрибут"
"Size X-pos.","Размер на X-поз."
"SKU barcode column title","Код заглавие баркод колона"
"SKU column title","Код заглавие колона"
"SKU position","позиция Код"
"SKU X-pos.","Код X-поз."
"SKU?","Код?"
"Small Image","Малък Изображение"
"Sort bundle children?","Сортиране включените деца?"
"Sort by :","Сортиране по:"
"Sort direction :","Посока на сортиране:"
"Sort items by :","Подреди предметите по:"
"Sort product lists by :","списъци Сортиране на продукти от:"
"Sort product lists?","списъци Сортиране продукт?"
"Sort products by :","Подреди продуктите по:"
"Sort Secondary by :","Сортиране Средно по:"
"Sorting attribute :","Сортиране атрибут:"
"Spacer character:","Spacer характер:"
"Specific font-size for Town/State/Zip","Специфична шрифта за Град / държава / Zip"
"Split &amp; group bundle parents and children/simple-products separately","Split & усилвател; Пакетните родители групови и деца / прости продукти поотделно"
"Split by logged-in user?","Сплит от влезлия потребител?"
"Split PDFs by supplier","Разделяне на PDF файлове от доставчика"
"Standard : shipping on left, billing on right","Standard: експедиране на ляво, за таксуване на полето"
"Star specific value?","Star специфична стойност?"
"Start from fixed Y-Pos?","Започнете от фиксирана Y-Pos?"
"Start overflow pages where?","Започнете с препълване на страниците, където?"
"Start with 'From :' to have that a different size","Започнете с "От:" да има, че с различен размер"
"Status","Статус"
"Stock alert below...","Склад за тревога по-долу ..."
"Stock alerts?","Сток сигнали?"
"Stock Filter","фондова Филтър"
"Store","магазин"
"Strip line breaks and commas?","Strip нови редове и запетаи?"
"Strip linebreaks from non-address fields in CSV exports?","Газа LINEBREAKS от не-адресни полета в износа CSV?"
"Strip linebreaks in gift messages?","Газа LINEBREAKS в подарък съобщения?"
"Strip linebreaks in order comments?","Газа LINEBREAKS в коментарите поръчка?"
"Style","стил"
"Subheadings : Color","Подпозиции: Цвят"
"Subheadings : Font","Подпозиции: Font"
"Subheadings : Size","Подпозиции: Размер"
"Subheadings : Style","С ддс."
"Subsection height","данък"
"Subtotal align","С ддс."
"Subtotal Labels X-pos","Междинна сума Етикети X-поз"
"Subtotal Numbers X-pos","Междинна сума числа X-поз"
"Suggested : [blank] or 'billing details'","Препоръчителни: [празни] или "данни за плащане""
"Suggested : [blank] or 'Ship","Предложена: [празно] или "Корабно"
"Suggested : [blank] or 'shipping details'","Препоръчителни: [празни] или "подробности за доставка""
"Supplier  'login'","Доставчик "вход""
"Supplier attribute","доставчик атрибут"
"Supplier options","опции доставчик"
"Supplier username:suppliername","Доставчик потребителско име: suppliername"
"Switched, billing on donw, shipping on up","Switched, фактуриране на donw, корабоплаването по нагоре"
"Switched, billing on left, shipping on right","Switched, фактуриране на ляво, доставка на полето"
"T: ","T:"
"Take product name from:","Вземете име на продукт от:"
"Tax column title","заглавие Tax колона"
"Tax display method","метод Tax дисплей"
"Tax Incl.","С ддс."
"Tax Label","Данъчен Label"
"Tax Label Incl.","Данъчен Label вкл."
"Tax paid?","Платен данък?"
"Teando Delivery Options?","Teando Доставка опции?"
"Temando Delivery Options?","Temando Доставка опции?"
"Text","Текст"
"Text for 'Packed 2 by' note :","Текст за "Опаковал 2 от" забележка:"
"Thailand CN22 Label Image","Тайланд CN22 Label Изображение"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","Това се нуждае от <б> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ б> разширението на работа"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","Тази опция ще работи, ако имате инсталиран Gift Wrap функция на Magento Enterprise"
"This option will work if you have installed warehouse extension.","Тази опция ще работи, ако имате инсталиран разширение склад."
"This sets: Packing Sheets, Invoices, Picklists.","Това определя: Опаковъчни листа, фактури, Picklists."
"This will add an info label at the end of every print run.","Това ще добави етикет информация в края на всеки тираж."
"This will be added to each order's total weight","Това ще бъде добавен към общото тегло на всеки ред е"
"This will create different pick lists per supplier","Това ще създаде различни списъци пикап на доставчика"
"This will group all products by their category (useful for outbound customs declarations)","Тази воля група всички продукти от тяхната категория (полезни за изходящи митнически декларации)"
"This will move the image on each label","Това ще се премести на изображението върху всеки етикет"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","Това ще забави поколение PDF от много, така напусне "Не", освен ако наистина нужда от нея"
"Thumbnail","Thumbnail"
"Tickbox 2nd Xpos","Tickbox втори Xpos"
"Tickbox 2nd?","Tickbox втори?"
"Tickbox Xpos","Tickbox Xpos"
"Tickbox?","Tickbox?"
"Time","път"
"Tip : Use short title(s) if you choose 'beside'","Съвет: Използвайте кратко заглавие (и), ако изберете "до""
"Title","Заглавие"
"Title text","Заглавие на текста"
"Titlebars Bkg Color","Заглавната лента на BKG Color"
"Today\'s Date","Днешната дата"
"Top address padding","Top подложка адрес"
"Top Left","Горе вляво"
"Top of page","Начало на страницата"
"Top-left Ribbon","Най-лявата лента"
"Total invoiced items count?","Общо фактурирани елементи разчитат?"
"Total items count?","Общо артикули разчитат?"
"Total order count?","Общо за да брои?"
"Total paid column","Общо платена колона"
"Total paid for each SKU?","Общо плаща за всеки SKU?"
"Total paid?","Общо платени?"
"Total price column title","Общо заглавие цена колона"
"Total product qty title","Общо заглавие продукт Количество"
"Total shipped items count?","Общо изпратени елементи разчитат?"
"Total shipping paid?","платен Общо корабоплаването?"
"Total weight?","Общо тегло?"
"Tracking number font size","Проследяване размер брой на шрифта"
"Tracking Number?","Проследяване на номер?"
"Trigger statuses","Trigger състояния"
"Trim long content?","Подстригване дълго съдържание?"
"Trim long?","Подстригване дълго?"
"Trim long SKUs?","Подстригване дълги ИЕ?"
"Trim Product Name","Trim Име на продукта"
"Trim Product Name?","Подстригване Име на продукта?"
"Trim SKU?","Подстригване Код?"
"Trim?","Подстригване?"
"Truncate items to fit in columns?","Отрежете елементи, за да се поберат в колони?"
"UK CN22 Label Image","UK CN22 Label Изображение"
"Under product-list message","Под продукт-списък съобщение"
"Under product-list Message A","Под продукт-списък съобщение"
"Under product-list Message B","Под продукт-списък Съобщението B"
"Under shipping details","По данни на доставка"
"Unhold?","Възобнови?"
"Unit price column title","Unit заглавие цена колона"
"Unit price title","заглавие Единична цена"
"Unit tax title","данъчно звено заглавие"
"Unit tax title?","Unit данък заглавие?"
"Update after process","Актуализация след процес"
"Update Order Attribute","Актуализация Поръчка Умение"
"Update shipEasy Flag","Актуализация shipEasy Flag"
"Upload a .ttf or .otf font file","Качване на .ttf или .otf файл на шрифта"
"Upload a .ttf or .otf font file <br />'Font style' settings","Качване на файл <br .ttf или .otf шрифта /> настройките "стил на шрифта""
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","Качване на файл <br .ttf или .otf шрифта /> настройките "стил на шрифта" се игнорират с персонализирани шрифтове"
"Upload a .ttf or .otf font file'Font style' settings","Качване на .ttf или настройки .otf шрифта file'Font стил ""
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","Качване на файл <br .ttf или .otf шрифта /> настройките "стил на шрифта" се игнорират с персонализирани шрифтове"
"Upsize + bold qty, if qty = 2+","Upsize + смели Количество, ако Количество = 2+"
"USA CN22 Label Image","САЩ CN22 Label Изображение"
"Use <b>courierRules</b> generated shipping label?","Използвайте <б> courierRules </ б> генерирани етикет корабоплаването?"
"Use as a way to constrain the address inside a specific label or area","Използвайте като начин да се ограничи адрес вътре специален етикет или район"
"Use GFS Shipping Labels?","Използвайте етикети GFS за доставка?"
"Use logged-in language","Използвайте влезли език"
"Use Magento Grand Total?","Използвайте Magento Grand Total?"
"Use Magento subtotals?","Използвайте Magento междинни суми?"
"Use order storeview language","Използвайте цел език storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","Използвайте заедно с "Актуализация shipEasy Flag" -> "Да, Printed""
"Use what language and when?","Използвайте това, което език и кога?"
"Use which image?","Използвайте които изображение?"
"Use which?","Използвайте което?"
"Uses header logo from Packing Sheet","Използва удар с глава на лого от Опаковка Sheet"
"Using One Step Checkout (Magestore) delivery date","Използването One Step Checkout (Magestore) дата на доставка"
"Usually goes at page base - handy for QC","Обикновено отива в страницата база - удобен за QC"
"Value","стойност"
"Vert Line","Vert Line"
"Warehouse?","Склад?"
"Weight Based number?","Тегло Въз номер?"
"Weight Based?","Тегловни?"
"Weight multiplier","Тегло множител"
"Weight rounding","Тегло закръгляване"
"Weight unit","Тегло единица"
"Weight unit:","Тегло единица:"
"What is your word for 'tax'?","Каква е вашата дума за "данък"?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","Къде да се позиционира по поръчка на х-ки на picklists <br /> По подразбиране:. Колони"
"Which Aitoc attribute codes?","Кои Aitoc атрибут кодове?"
"Which Options?","Кои опции?"
"Which value for configurable product names?","Коя стойност за конфигурируеми имена на продукти?"
"Which?","Който?"
"Width","широчина"
"X days after printing date?","Х дни след отпечатването дата?"
"X-Nudge","X-побутване"
"X-pos","X-поз"
"X-Pos [434]","X-Pos [434]"
"X-Pos.  images 222","X-Поз. изображения 222"
"X-Pos. attr. 2","X-Поз. ATTR. 2"
"X-Pos. attr. 2 (+ prices col)","X-Поз. ATTR. 2 (+ цените да сътрудничат)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Поз. ATTR. 2 (+ цени, данъчни колони)"
"X-Pos. attr. 3","X-Поз. ATTR. 3"
"X-Pos. attr. 3 (+ prices col)","X-Поз. ATTR. 3 (+ цените да сътрудничат)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Поз. ATTR. 3 (+ цени, данъчни колони)"
"X-Pos. barcodes","X-Поз. баркодове"
"X-Pos. custom product options","X-Поз. опции по поръчка на продукта"
"X-Pos. custom product options (+ prices col)","X-Поз. опции потребителски продукт (+ цените да сътрудничат)"
"X-Pos. custom product options (+ prices, tax cols)","X-Поз. опции по поръчка на изделието (цени, данъчни COLS)"
"X-Pos. date","X-Поз. дата"
"X-Pos. images","X-Поз. снимки"
"X-Pos. images (+ prices col)","X-Поз. изображения (+ цените да сътрудничат)"
"X-Pos. images (+ prices, tax cols)","X-Поз. изображения (цени +, данъчни колони)"
"X-Pos. name","X-Поз. име"
"X-Pos. name (+ prices col)","X-Поз. име (цени + да сътрудничат)"
"X-Pos. name (+ prices, tax cols)","X-Поз. име (цени +, данъчни колони)"
"X-Pos. numbered list","X-Поз. номериран списък"
"X-Pos. numbered list bundle children","X-Поз. списък с номера за разговори деца"
"X-Pos. product discount","X-Поз. продукт отстъпка"
"X-Pos. product discount?","X-Поз. отстъпка продукт?"
#N/A
"X-Pos. product line total?","X-Поз. продуктова линия общо?"
"X-Pos. qty","X-Поз. Количество"
"X-Pos. qty (+ prices col)","X-Поз. Количество (+ цените да сътрудничат)"
"X-Pos. qty (+ prices, tax cols)","X-Поз. Количество (+ цени, данъчни COLS)"
