"'Allowance' column title","título da coluna 'Provisão'"
"Process orders that include out-of-stock items?","ordens de processo que incluem itens fora de estoque?"
"Processing schedule","cronograma de processamento"
"Product Category Label","Categoria do Produto Rótulo"
"Product discount title","título de desconto do produto"
"Product discount title?","título de desconto produto?"
"Product gift message xpos","posx mensagem de presente produto"
"Product id below barcode font-size","ID de produto abaixo do código de barras font-size"
"Product images?","As imagens dos produtos?"
"Product line nudge","linha de produtos nudge"
"Product line total title","linha de produtos TOTAL DO TÍTULO"
"Product line total title?","linha de produtos título total de?"
"Product list sort direction :","Produto direção lista de classificação:"
"Product list titlebar padding bot","lista de produtos barra de título preenchimento bot"
"Product list titlebar padding top","Lista de produto de topo da barra de título preenchimento"
"Product Name","Nome do Produto"
"Product name position","posição nome do produto"
"Product name X-pos.","Nome do produto X-pos."
"Product name?","Nome do Produto?"
"Product names or attributes contain non-roman characters?","nomes ou atributos do produto contêm caracteres não-romanos?"
"Product Options : Size","Opções do produto: Tamanho"
"Product options?","opções de produtos?"
"Product Price x","Produto Preço x"
"Product SKU barcode?","Produtos de código de barras SKU?"
"Product SKU below barcode font-size","SKU do produto abaixo do código de barras font-size"
"Product SKU below barcode?","SKU do produto abaixo do código de barras?"
"Product weight?","Peso do Produto?"
"Product-price Multiplier","Multiplicador produto de preço"
"Pull from custom attribute","Puxar de atributo personalizado"
"Purchase order #?","Ordem de compra #?"
"Put in separate column","Coloque em coluna separada"
"Puts in total weight, shipping carrier, payment method","Coloca em peso, portador do transporte, método de pagamento total de"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","q (Qtde esquerda para enviar), s (Qtde enviado), o (Qtde encomendado)"
"Qty column title","título da coluna Qtde"
"Qty invoiced","Qtde facturado"
"Qty left to ship","Qtde esquerda para enviar"
"Qty X-pos.","Qtde X-pos."
"Quote all values in CSV exports?","Citar todos os valores das exportações CSV?"
"Recalculate","Recalcular"
"Recommend for long SKU","Recomendar por muito tempo SKU"
"Reformat address?","Reformatar endereço?"
"Reformat?","Reformatar?"
"Regular","Regular"
"Remove accents from letters in address?","Remover acentos de letras em endereço?"
"Remove product tax from subtotal?","Remover imposto sobre os produtos de subtotal?"
"Remove shipping tax from","Retirar fiscal de transporte do"
"Remove shipping tax from subtotal?","Retirar fiscal de transporte do subtotal?"
"Remove shipping tax from tax","Retirar fiscal transporte de imposto"
"Repeat gift message?","mensagem de presente repeat?"
"Replace Default ERP Invoice with pickPacks?","Substitua Invoice ERP padrão com pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","Substituir Padrão Folha de embalagem ERP com o do pickPack?"
"Reset","Reiniciar"
"Return address","Endereço de devolução"
"return address - Default","endereço do remetente - Padrão"
"return address - Group 1","endereço de retorno - Grupo 1"
"return address - Group 2","endereço de retorno - Grupo 2"
"return address - Group 3","endereço de retorno - Grupo 3"
"Return Address Label : Color","Etiqueta de endereço: Cor"
"Return Address Label : Font","Etiqueta de endereço: Font"
"Return Address Label : Size","Etiqueta de endereço do remetente: Tamanho"
"Return Address Label : Style","Etiqueta de endereço: Estilo"
"Return address text","texto endereço de retorno"
"Right","Certo"
"Right Margin X","Right Margin X"
"Rotate <b>autoCN22</b> page?","Girar <b> autoCN22 </ b> página?"
"Rotate entire label?","Rodar etiqueta inteira?"
"Rotate label?","Gire rótulo?"
"Rotate Product list","Lista de produtos Rotate"
"Rotate return address?","Gire endereço de retorno?"
"Rotate?","Rode?"
"Round cost by ? decimal places","custo rodada por? casas decimais"
"Round custom attribute numbers?","números de atributo personalizado redonda?"
"Round weight by ? decimal places","peso vivo por? casas decimais"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","Arredondamento para 2 casas decimais pode funcionar bem para afixação de preços <br /> <i> Default:. Não </ i>"
"Rule 1?","Regra 1?"
"Rule 2?","Regra 2?"
"Rules are processed in order from low to high priority numbers.<br/>","As regras são processadas a fim de baixo para números de alta prioridade. <br/>"
"Scale Shipping Labels","Etiquetas escala frete"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","Vendo tofu: <b style = "font-size: 200%; font-weight: 100; display: inline; position: relative; top: 5px;"> & # 9647; </ b>?"
"Select Order Attribute To Update","Selecione Ordem atributo para actualizar"
"Separate multiple matches by comma.'","várias correspondências separadas por vírgulas. '"
"Seperator 1?","Seperator 1?"
"Seperator 2?","Separador 2?"
"Server Name","Nome do servidor"
"Set in 'Shipping Labels' section","Situado na secção "Etiquetas de transporte '"
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","Situado em "Etiquetas de transporte 'seção <br /> Ative isso para mostrar, por exemplo. etiquetas Royal Mail PPI"
"Set Internal Printed Flag?","Definir Bandeira Impresso interno?"
"Set the currency symbol","Definir o símbolo de moeda"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","Definida como Baixa para manter o tamanho do arquivo baixa (mas a imagem fundo desfocado), definido como Alto para obter um fundo mais nítido (e maior tamanho do arquivo)"
"Settings File","Arquivo configurações"
"Shelving attribute","atributo estantes"
"Shelving position","posição prateleiras"
"Shelving Xpos","Prateleiras Xpos"
"Shift Bundle Children Xpos","Mudar Bundle Crianças Xpos"
"Ship Date","Data de envio"
"shipEasy Connection","Connection shipEasy"
"shipEasy Connection","Connection shipEasy"
"shipEasy flag column #","shipEasy coluna flag #"
"shipEasy flag value?","valor de sinalizador shipEasy?"
"Shipping Address","endereço de entrega"
"Shipping address padding","preenchimento endereço de entrega"
"Shipping address phone?","Envio de telefone endereço?"
"Shipping address title","título endereço de entrega"
"Shipping Date?","Data de envio?"
"Shipping Image #1","Envio Imagem # 1"
"Shipping Image #2","Envio Imagem # 2"
"Shipping Image #3","Envio Imagem # 3"
"Shipping Labels","Etiquetas de transporte"
"Shipping Method (Default)","Método do transporte (Padrão)"
"Shipping method?","Método de envio?"
"Shipping options?","Opções de envio?"
"Shipping Type","Tipo de envio"
"Shipping/Billing Title : Style","Shipping / Billing Título: Estilo"
"Shipping/Billing title position","posição do título / Billing envio"
"Show","exposição"
"Show 'Allowance'?","Show 'Provisão'?"
"Show 'Message B' for this group :","Show 'Mensagem B' para este grupo:"
"Show 'Message B' for this group :","Show 'Mensagem B' para este grupo:"
"Show 'Packed 2 by' note?","Show 'Embalado 2 por "nota?"
"Show 'Packed by' note?","Show 'Embalado pelo' nota?"
"Show 'Packed by' note?","Show 'Embalado pelo' nota?"
"Show 'total item count'?","Show 'contagem total produto?"
"Show 'total order count'?","Show 'contagem total de ordem "?"
"Show 'total paid'?","Show 'total pago?"
"Show 'total shipping paid'?","Show 'shipping total pago?"
"Show 'Total Taxed Product Value'?","Show 'total taxado Produto Valor'?"
"Show 'Total UnTaxed Product Value'?","Show 'total não tributado Produto Valor'?"
"Show #Order or #Invoice","Mostrar #Order ou #Invoice"
"Show 0 qty items?","Mostrar 0 Quant itens?"
"Show 2nd attribute?","Mostrar segundo atributo?"
"Show 2nd order custom attribute?","Mostrar segundo atributo personalizado ordem?"
"Show 2nd Order ID?","Mostrar segundo ID Ordem?"
"Show 2nd qrcode?","Mostrar segundo qrcode?"
"Show 2nd?","Mostrar segundo?"
"Show 3rd attribute?","Mostrar terceiro atributo?"
"Show address in product label?","Mostrar endereço no rótulo do produto?"
"Show advanced options?","Mostrar opções avançadas?"
"Show Aitoc Checkout Fields?","Mostrar Aitoc Caixa Fields?"
"Show Amasty Order Attributes?","Mostrar Amasty Ordem atributos?"
"Show Amasty order delivery date?","Mostrar data de entrega ordem Amasty?"
"Show another attribute?","Mostrar outro atributo?"
"Show as Icon?","Mostrar como ícone?"
"Show attribute titles?","Mostrar atribuir títulos?"
"Show barcode SKU?","Mostrar código de barras SKU?"
"Show Base Currency values in Subtotals?","Mostrar valores moeda-base em Subtotais?"
"Show BetaBoxes?","Mostrar BetaBoxes?"
"Show billing address at top?","Mostrar endereço de cobrança em cima?"
"Show billing address?","Mostrar endereço de cobrança?"
"Show billing phone under shipping address ?","Mostrar telefone para facturação em endereço de entrega?"
"Show billing phone?","Mostrar telefone de facturação?"
"Show Box 1?","Mostrar caixa de 1?"
"Show Box 2?","Mostrar Caixa 2?"
"Show Box 3?","Mostrar Caixa 3?"
"Show box estimation?","Mostrar estimativa box?"
"Show brackets around tax?","Mostrar colchetes de imposto?"
"Show bundle parent?","Mostrar pai pacote?"
"Show bundle parents?","Mostrar aos pais do pacote?"
"Show bundle product children?","Mostrar as crianças produtos do pacote?"
"Show column titles?","Mostrar títulos das colunas?"
"Show cost subtotal?","Mostrar subtotal custo?"
"Show Currency Exchange Rate in Subtotals?","Mostrar Taxa de Câmbio Moeda em Subtotais?"
"Show custom attribute?","Mostrar atributo personalizado?"
"Show custom barcode?","Mostrar código de barras personalizado?"
"Show custom product attribute (2)?","Mostrar atributo do produto personalizado (2)?"
"Show custom product attribute (3)?","Mostrar atributo do produto personalizado (3)?"
"Show custom product attribute (4)?","Mostrar atributo do produto personalizado (4)?"
"Show custom product attribute?","Mostrar atributo do produto personalizado?"
"Show custom product attributes?","Mostrar os atributos do produto personalizados?"
"Show custom product options?","Mostrar opções de produtos personalizados?"
"Show custom qrcode?","Mostrar qrcode personalizado?"
"Show customer email?","Mostrar e-mail do cliente?"
"Show customer group?","Mostrar grupo de clientes?"
"Show customer ID?","Mostrar ID do cliente?"
"Show customer phone?","Mostrar telefone do cliente?"
"Show customer VAT number?","Mostrar número de IVA do cliente?"
"Show custommer comment?","Mostrar comentário Custommer?"
"Show date printed?","Mostrar data impressa?"
"Show deadline text / date?","Mostrar texto prazo / data?"
"Show discount?","Mostrar desconto?"
"Show discounts in order subtotal","Mostrar descontos em subtotal do pedido"
"Show discounts in order subtotal'","Mostrar descontos no subtotal ordem ""
"Show discounts where?","Mostrar descontos onde?"
"Show discounts?","Mostrar descontos?"
"Show Earned Points?","Mostrar Pontos Ganhos?"
"Show extended info line?","Mostrar estendida linha de informação?"
"Show extra shipping details?","Mostrar detalhes de envio extra?"
"Show fixed text?","Mostrar texto fixo?"
"Show fixed-text for non-Store-Pickup orders?","Mostrar-texto fixo para as encomendas não-loja-recolhimento?"
"Show for bundle children?","Mostrar para as crianças pacote?"
"Show full payment?","Mostrar o pagamento integral?"
"Show gift message title 'to/from'","Mostrar presente título da mensagem "para / de '"
"Show gift message?","Mostrar mensagem de presente?"
"Show gift messages?","Mostrar as mensagens de presente?"
"Show gift wrap message?","Mostrar mensagem de papel de embrulho?"
"Show gift wrap style?","Mostrar o estilo papel de embrulho?"
"Show giftwrap label?","Mostrar rótulo giftwrap?"
"Show Grand Total?","Mostrar total geral?"
"Show icon top-of-page for wrap orders?","Mostrar ícone superior da página para encomendas envoltório?"
"Show invoiced date?","Mostrar data facturado?"
"Show items count?","Mostrar itens contam?"
"Show logo on Pick Lists?","Mostrar logotipo em listas de seleção?"
"Show logo on picklists?","Mostrar logotipo em picklists?"
"Show mageworld order delivery date?","Mostrar mageworld data de entrega ordem?"
"Show Mageworx Multifees?","Mostrar Mageworx Multifees?"
"Show movable Order ID?","Mostrar móveis ID Ordem?"
"Show name?","Mostrar nome?"
"Show on line item' can help reduce customs fees","Show na rubrica "pode ​​ajudar a reduzir as taxas aduaneiras"
"Show order column titles?","Mostrar títulos das colunas de ordem?"
"Show order comments?","Mostrar comentários ordem?"
"Show order custom attribute?","Mostrar ordem atributo personalizado?"
"Show order date?","Mostrar data do pedido?"
"Show order gift message?","Mostrar mensagem de presente ordem?"
"Show Order Grand Total","Ordenar Total geral"
"Show Order ID (above address)?","Mostrar ordem de ID (endereço acima)?"
"Show Order ID above address?","Ordenar ID acima de endereço?"
"Show Order ID barcode?","Ordenar ID de código de barras?"
"Show Order ID barcodes?","Mostrar códigos de barras Order ID?"
"Show Order ID in product label?","Ordenar ID no rótulo do produto?"
"Show Order ID?","Ordenar ID?"
"Show Order IDs?","Ordenar IDs?"
"Show order number?","Mostrar número de ordem?"
"Show Order Subtotals?","Ordenar Subtotals?"
"Show Order Tax Total","Ordenar Total de IVA"
"Show Order Total (no Tax)","Mostrar ordem total (sem imposto)"
"Show page title bar?","Mostrar barra de título da página?"
"Show parent product name","Mostrar nome do produto pai"
"Show payment method?","Mostrar método de pagamento?"
"Show phone numbers?","Mostrar números de telefone?"
"Show pickup date/time on same line?","Mostrar data pickup / tempo na mesma linha?"
"Show Point Discount?","Mostrar ponto de desconto?"
"Show Price?","Mostrar preço?"
"Show prices?","Visualizar preços?"
"Show product gift message?","Mostrar mensagem de presente produto?"
"Show Product Gift-Wrap Column?","Coluna Mostra do produto papel de embrulho?"
"Show Product Grand Total","Mostra do produto Total geral"
"Show Product ID barcode","Mostrar código de barras de identificação do produto"
"Show product ID below barcode?","Mostrar ID do produto abaixo do código de barras?"
"Show product images?","Mostrar imagens de produtos?"
"Show product line total?","Mostrar linha total do produto?"
"Show Product list?","Mostrar lista de produtos?"
"Show product name bold?","Mostrar nome do produto em negrito?"
"Show product name?","Mostrar nome do produto?"
"Show product names?","Mostrar nomes de produtos?"
"Show product options?","Mostrar opções de produtos?"
"Show Product qty?","Mostrar qty do produto?"
"Show product sku barcode?","Mostrar produto SKU código de barras?"
"Show product sku?","Mostrar produto SKU?"
"Show Product Tax Total","Mostrar Produto Total de IVA"
"Show Product Total(no Tax)","Mostrar produto total (sem imposto)"
"Show product type?","Mostrar tipo de produto?"
"Show product-level gift messages?","Mostrar as mensagens presentes no nível do produto?"
"Show purchase order #?","Mostrar ordem de compra #?"
"Show qty as:","Mostrar qty como:"
"Show return address?","Mostrar endereço de retorno?"
"Show Sheet Grand Total with Tax/ without Tax","Mostrar Folha Total geral com Tax / sem imposto"
"Show Sheet Total","Mostrar Folha total"
"Show Sheet Total with Tax/ without Tax","Show Total de folha com Tax / sem imposto"
"Show shelving info?","Mostrar estantes informações?"
"Show Ship Grand Total","Mostrar Navio Total geral"
"Show Ship Tax Total","Mostrar Navio Total de IVA"
"Show Ship Total (no Tax)","Mostrar Navio total (sem imposto)"
"Show shipping address at top?","Mostrar endereço de entrega na parte superior?"
"Show shipping address title?","Mostrar título endereço de entrega?"
"Show shipping address?","Mostrar endereço de entrega?"
"Show shipping carrier?","Mostrar transportadora?"
"Show shipping method?","Mostrar método de envio?"
"Show Shipping Price?","Mostrar envio Price?"
"Show Shipping subtotal?","Mostrar subtotal Shipping?"
"Show shipping warehouse?","Mostrar armazém de expedição?"
"Show simple product name","Mostrar nome do produto simples"
"Show SKU?","Mostrar SKU?"
"Show Source in subtotal?","Mostrar Fonte no subtotal?"
"Show specific attribute?","Mostrar atributo específico?"
"Show Spent Points?","Mostrar pontos gastos?"
"Show stock alert below...","Mostrar alerta estoque abaixo ..."
"Show stock alerts?","Mostrar alertas de ações?"
"Show stock qty?","Mostrar Qtde de ações?"
"Show subtotal?","Mostrar subtotal?"
"Show Subtotals?","Mostrar Subtotais?"
"Show tax breakdown?","Mostrar repartição fiscal?"
"Show tax separately?","Mostrar imposto separadamente?"
"Show tickbox 2nd?","Mostrar tickbox segundo?"
"Show tickbox?","Mostrar tickbox?"
"Show total discount?","Mostrar desconto total?"
"Show Total Due?","Show Total Due?"
"Show Total Order","Mostrar Order Total"
"Show Total Paid?","Show Total pago?"
"Show total shipping?","Mostrar transporte total?"
"Show total tax?","Mostrar fiscal total?"
"Show total weight?","Mostrar peso total?"
"Show tracking number as barcode?","Mostrar número de rastreamento de código de barras?"
"Show tracking number?","Mostrar número de rastreamento?"
"Show unit price?","Mostrar preço unitário?"
"Show unit tax Total","Show Total imposto unitário"
"Show unit tax?","Mostrar imposto unitário?"
"Show which date?","Mostrar que data?"
"Show which Store-Pickup details?","Mostrar detalhes que loja-recolhimento?"
"Show which value for configurable product names?","Mostram que o valor de nomes de produtos configuráveis?"
"Show which value for product names?","Mostram que o valor de nomes de produtos?"
"Show WSA Store-Pickup details?","Mostrar WSA detalhes Store-recolhimento?"
"Show zero-value discount?","Mostra de valor zero desconto?"
"Show zero-value shipping?","Mostrar transporte de valor zero?"
"Show zero-value tax?","Mostrar imposto de valor zero?"
"Show Zipcode barcode?","Mostrar Cep código de barras?"
"Show?","Exposição?"
"Shows item if stock below this; Default: 1","Mostra item se estoque abaixo deste; Padrão: 1"
"Shows SKU in red if stock below this number","Mostra SKU em vermelho se o estoque abaixo deste número"
"Signature line?","linha de assinatura?"
"Simple product name","nome do produto simples"
"Simple product name, even in configurable","nome do produto simples, mesmo em configurável"
"Size","Tamanho"
"Size attribute","atributo de tamanho"
"Size X-pos.","Tamanho-pos X."
"SKU barcode column title","título da coluna de código de barras SKU"
"SKU column title","título da coluna SKU"
"SKU position","posição SKU"
"SKU X-pos.","SKU X-pos."
"SKU?","SKU?"
"Small Image","imagem pequena"
"Sort bundle children?","crianças tipo de pacote?"
"Sort by :","Ordenar por :"
"Sort direction :","Ordenar direção:"
"Sort items by :","Ordenar artigos por:"
"Sort product lists by :","listas Ordenar produtos por:"
"Sort product lists?","listas tipo de produtos?"
"Sort products by :","Ordenação de artigos por:"
"Sort Secondary by :","Ordenar Secundária por:"
"Sorting attribute :","Classificando atributo:"
"Spacer character:","caráter Spacer:"
"Specific font-size for Town/State/Zip","font-size específico para Cidade / Estado / CEP"
"Split &amp; group bundle parents and children/simple-products separately","Split & amp; pais pacote de grupo e as crianças / simples subprodutos separadamente"
"Split by logged-in user?","Dividir por usuário logado?"
"Split PDFs by supplier","PDFs de divisão por fornecedor"
"Standard : shipping on left, billing on right","Standard: o transporte na esquerda, na direita de faturamento"
"Star specific value?","Estrelar valor específico?"
"Start from fixed Y-Pos?","Iniciar a partir de Y-Pos fixo?"
"Start overflow pages where?","Comece páginas de sobrecarga onde?"
"Start with 'From :' to have that a different size","Comece com "De:" a ter esse um tamanho diferente"
"Status","estado"
"Stock alert below...","Estoque de alerta abaixo ..."
"Stock alerts?","alertas de ações?"
"Stock Filter","da Filtro"
"Store","Loja"
"Strip line breaks and commas?","Faixa de quebras de linha e vírgulas?"
"Strip linebreaks from non-address fields in CSV exports?","Tira quebras de linha de campos não-endereços em exportações CSV?"
"Strip linebreaks in gift messages?","Tira quebras de linha em mensagens de presente?"
"Strip linebreaks in order comments?","Tira linebreaks comentários ordem?"
"Style","Estilo"
"Subheadings : Color","Qualificadores: Cor"
"Subheadings : Font","Subtítulos: Font"
"Subheadings : Size","Subtítulos: Tamanho"
"Subheadings : Style","IVA incl."
"Subsection height","imposto"
"Subtotal align","IVA incl."
"Subtotal Labels X-pos","Subtotal Etiquetas X-pos"
"Subtotal Numbers X-pos","Números subtotal X-pos"
"Suggested : [blank] or 'billing details'","Sugeridas: [em branco] ou 'detalhes de facturação'"
"Suggested : [blank] or 'Ship","Sugerida: [em branco] ou 'Navio"
"Suggested : [blank] or 'shipping details'","Sugeridas: [em branco] ou 'detalhes de envio'"
"Supplier  'login'","Fornecedor 'login'"
"Supplier attribute","atributo fornecedor"
"Supplier options","opções de fornecedor"
"Supplier username:suppliername","nome de usuário Fornecedor: suppliername"
"Switched, billing on donw, shipping on up","Switched, faturamento on donw, o transporte em até"
"Switched, billing on left, shipping on right","Switched, o faturamento do lado esquerdo, a navegação no lado direito"
"T: ","T:"
"Take product name from:","Tome nome do produto a partir de:"
"Tax column title","título da coluna fiscal"
"Tax display method","método de exibição de imposto"
"Tax Incl.","IVA incl."
"Tax Label","Etiqueta fiscal"
"Tax Label Incl.","Etiqueta IVA incl."
"Tax paid?","Imposto pago?"
"Teando Delivery Options?","Teando Entrega opções?"
"Temando Delivery Options?","Temando Entrega opções?"
"Text","Texto"
"Text for 'Packed 2 by' note :","Texto para "embalado 2 por 'nota:"
"Thailand CN22 Label Image","Tailândia CN22 etiqueta Imagem"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","Este precisa do <b> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ b> extensão ao trabalho"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","Esta opção irá funcionar se você tiver instalado o recurso de papel de embrulho de Magento Empresa"
"This option will work if you have installed warehouse extension.","Esta opção irá funcionar se você tiver instalado a extensão do armazém."
"This sets: Packing Sheets, Invoices, Picklists.","Isso define: Folhas de embalagem, faturas, listas de opções."
"This will add an info label at the end of every print run.","Isto irá adicionar uma etiqueta info no final de cada tiragem."
"This will be added to each order's total weight","Isto irá ser adicionado ao peso total de cada ordem"
"This will create different pick lists per supplier","Isto irá criar diferentes listas de seleção por fornecedor"
"This will group all products by their category (useful for outbound customs declarations)","Este grupo vontade todos os produtos de sua categoria (úteis para as declarações aduaneiras de saída)"
"This will move the image on each label","Isto irá deslocar a imagem em cada etiqueta"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","Isto irá desacelerar geração de PDF por um monte, por isso deixe 'Não', a menos que você realmente precisa dele"
"Thumbnail","Miniatura"
"Tickbox 2nd Xpos","Tickbox segundo Xpos"
"Tickbox 2nd?","2º Tickbox?"
"Tickbox Xpos","tickbox Xpos"
"Tickbox?","Tickbox?"
"Time","Tempo"
"Tip : Use short title(s) if you choose 'beside'","Dica: Use título curto (s) se você escolher 'ao lado'"
"Title","Título"
"Title text","texto do título"
"Titlebars Bkg Color","Titlebars Bkg Cor"
"Today\'s Date","Data de hoje"
"Top address padding","preenchimento de endereços Top"
"Top Left","Top Left"
"Top of page","Topo da página"
"Top-left Ribbon","Fita superior esquerdo"
"Total invoiced items count?","Total de itens faturados contam?"
"Total items count?","Total de itens contam?"
"Total order count?","ordem total contam?"
"Total paid column","coluna total pago"
"Total paid for each SKU?","Total pago para cada SKU?"
"Total paid?","Total pago?"
"Total price column title","título coluna do total preço"
"Total product qty title","título Qtde produto"
"Total shipped items count?","Total de itens enviados contar?"
"Total shipping paid?","transporte total pago?"
"Total weight?","Peso total?"
"Tracking number font size","Acompanhando o tamanho da fonte número"
"Tracking Number?","Numero de rastreio?"
"Trigger statuses","status de gatilho"
"Trim long content?","Apare conteúdo tempo?"
"Trim long?","Apare tempo?"
"Trim long SKUs?","Apare SKUs longos?"
"Trim Product Name","Guarnição Nome do produto"
"Trim Product Name?","Apare Nome do produto?"
"Trim SKU?","Apare SKU?"
"Trim?","Apare?"
"Truncate items to fit in columns?","Truncar itens para caber em colunas?"
"UK CN22 Label Image","UK CN22 etiqueta Imagem"
"Under product-list message","Sob mensagem da lista de produtos"
"Under product-list Message A","Sub-lista de produtos Mensagem A"
"Under product-list Message B","Sub-lista de produtos Mensagem B"
"Under shipping details","Sob detalhes de envio"
"Unhold?","Retomar?"
"Unit price column title","título da coluna preço unitário"
"Unit price title","título preço unitário"
"Unit tax title","título de imposto Unit"
"Unit tax title?","título de imposto unidade?"
"Update after process","Update após processo"
"Update Order Attribute","Atualização Ordem Atributo"
"Update shipEasy Flag","Bandeira atualização shipEasy"
"Upload a .ttf or .otf font file","Fazer upload de um arquivo de fonte .ttf ou .otf"
"Upload a .ttf or .otf font file <br />'Font style' settings","Carregue uma .ttf ou .otf font arquivo <br /> configurações 'estilo da fonte'"
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","Carregar uma .ttf ou .otf font arquivo <br /> configurações 'estilo de fonte são ignorados com fontes personalizadas"
"Upload a .ttf or .otf font file'Font style' settings","Carregar uma .ttf ou .otf configurações de fonte estilo file'Font '"
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","Carregar uma .ttf ou .otf font arquivo <br /> configurações 'estilo de fonte são ignorados com fontes personalizadas"
"Upsize + bold qty, if qty = 2+","Converter qty + negrito, se qty = 2 +"
"USA CN22 Label Image","EUA CN22 etiqueta Imagem"
"Use <b>courierRules</b> generated shipping label?","Use <b> courierRules </ b> etiqueta de remessa gerado?"
"Use as a way to constrain the address inside a specific label or area","Uso como uma forma de restringir o endereço dentro de uma etiqueta ou área específica"
"Use GFS Shipping Labels?","Use etiquetas GFS envio?"
"Use logged-in language","Use uma linguagem logado"
"Use Magento Grand Total?","Use Magento Total geral?"
"Use Magento subtotals?","Use subtotais Magento?"
"Use order storeview language","Use fim linguagem storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","Use em conjunto com 'Atualizar Bandeira shipEasy' -> 'Sim, Impresso'"
"Use what language and when?","Use o que linguagem e quando?"
"Use which image?","Use qual a imagem?"
"Use which?","Use o que?"
"Uses header logo from Packing Sheet","Usa logotipo do cabeçalho da folha de embalagem"
"Using One Step Checkout (Magestore) delivery date","Usando One Step Checkout (Magestore) data de entrega"
"Usually goes at page base - handy for QC","Geralmente vai na base da página - útil para QC"
"Value","Valor"
"Vert Line","Linha Vert"
"Warehouse?","Armazém?"
"Weight Based number?","número Baseado peso?"
"Weight Based?","Peso com base?"
"Weight multiplier","multiplicador de peso"
"Weight rounding","peso arredondamento"
"Weight unit","unidade de peso"
"Weight unit:","Unidade de peso:"
"What is your word for 'tax'?","Qual é a sua palavra para 'imposto'?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","Onde posicionar os atributos do produto personalizado no picklists <br /> Padrão:. Columns"
"Which Aitoc attribute codes?","Que Aitoc atribuir códigos?"
"Which Options?","Que opções?"
"Which value for configurable product names?","Que valor para nomes de produtos configuráveis?"
"Which?","Qual?"
"Width","Largura"
"X days after printing date?","X dias após a data de impressão?"
"X-Nudge","X-Nudge"
"X-pos","X-pos"
"X-Pos [434]","X-Pos [434]"
"X-Pos.  images 222","X-Pos. imagens 222"
"X-Pos. attr. 2","X-Pos. attr. 2"
"X-Pos. attr. 2 (+ prices col)","X-Pos. attr. 2 (+ preços COL)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Pos. attr. 2 (+ preços, cols fiscais)"
"X-Pos. attr. 3","X-Pos. attr. 3"
"X-Pos. attr. 3 (+ prices col)","X-Pos. attr. 3 (+ preços COL)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Pos. attr. 3 (+ preços, cols fiscais)"
"X-Pos. barcodes","X-Pos. códigos de barras"
"X-Pos. custom product options","X-Pos. opções de produtos personalizados"
"X-Pos. custom product options (+ prices col)","X-Pos. opções de produtos personalizados (+ preços COL)"
"X-Pos. custom product options (+ prices, tax cols)","X-Pos. opções de produtos personalizados (+ preços, cols fiscais)"
"X-Pos. date","X-Pos. encontro"
"X-Pos. images","X-Pos. imagens"
"X-Pos. images (+ prices col)","X-Pos. imagens (+ preços COL)"
"X-Pos. images (+ prices, tax cols)","X-Pos. imagens (+ preços, cols fiscais)"
"X-Pos. name","X-Pos. nome"
"X-Pos. name (+ prices col)","X-Pos. nome (+ preços COL)"
"X-Pos. name (+ prices, tax cols)","X-Pos. nome (+ preços, cols fiscais)"
"X-Pos. numbered list","X-Pos. lista numerada"
"X-Pos. numbered list bundle children","X-Pos. numerados lista Bundle crianças"
"X-Pos. product discount","X-Pos. produto com desconto"
"X-Pos. product discount?","X-Pos. desconto de produto?"
#N/A
"X-Pos. product line total?","X-Pos. total de linha de produtos?"
"X-Pos. qty","X-Pos. Quant"
"X-Pos. qty (+ prices col)","X-Pos. Quant (+ preços COL)"
"X-Pos. qty (+ prices, tax cols)","X-Pos. qty (+ preços, cols fiscais)"
"X-Pos. shelf","X-Pos. estante"
"X-Pos. shelf (+ prices col)","X-Pos. prateleira (+ preços COL)"
"X-Pos. shelf (+ prices, tax cols)","X-Pos. shelf (+ preços, cols fiscais)"
"X-Pos. sku","X-Pos. sku"
"X-Pos. sku (+ prices col)","X-Pos. SKU (+ preços COL)"
"X-Pos. sku (+ prices, tax cols)","X-Pos. SKU (+ preços, cols fiscais)"
"X-Pos. SKU barcode","X-Pos. SKU código de barras"
"X-Pos. SKU barcode (+ prices col)","X-Pos. SKU código de barras (+ preços COL)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Pos. SKU código de barras (+ preços, cols fiscais)"
