"'Allowance' column title",""Облік" в заголовку стовпця"
"PDF (Product-separated Picklist)","PDF (продукт розділених Picklist)"
"PDF (Product-separated Picklist)?","PDF (продукт розділених Picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox Picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox Picklist)?"
"PDF (Zebra Labels)","PDF (Zebra етикетки)"
"PDF (Zebra Labels)?","PDF (Zebra етикетки)?"
"PDF Address-label Sheet","PDF Адреса мітки Sheet"
"PDF Gift Message","PDF Подарунок повідомлення"
"PDF Invoice","Рахунок в PDF"
"PDF Invoice &amp; Packing Sheet' Sort","Рахунок в PDF & Amp; Упаковка Лист 'Сортування"
"PDF Letter","PDF Лист"
"PDF Order-combined Picklist","PDF Замовити комбіновані Picklist"
"PDF Order-separated Picklist","PDF Замовити розділених Picklist"
"PDF Orders Summary","PDF Замовлення Резюме"
"PDF Packing Sheet","PDF Упаковка Sheet"
"PDF Packing Sheet + Invoice","PDF Лист упаковки + рахунок-фактура"
"PDF page size","розмір PDF сторінки"
"PDF Product-separated Picklist","PDF Продукт розділених Picklist"
"PDF Zebra Label","PDF Zebra етикетки"
"PDF/CSV (Out-of-stock List)","PDF / CSV (Ні в наявності списку)"
"PDF/CSV Out-of-stock List","PDF / CSV Немає в наявності Список"
"PDF/CSV Out-of-stock List Options","PDF / CSV поза запасу Опції Список"
"Pick Lists only","Виберіть тільки списки"
"pickPack","pickPack"
"pickPack Validation Key","pickPack перевірки ключа"
"Pickup Date","самовивезення Дата"
"Pickup Store Address","Самовивезення Адреса магазину"
"Pickup Store Email","Самовивезення магазин Електронна пошта"
"Pickup Store ID","Самовивезення Ідентифікатор магазину"
"Pickup Store Phone","Самовивезення магазин Телефон"
"Pickup Time","самовивезення Час"
"Position","становище"
"Position custom text box","призначені для користувача текстове поле Позиція"
"Position of custom attributes","Положення користувальницьких атрибутів"
"Position of notes :","Позиція нот:"
"Position of shelving info","Положення стелаж інформації"
"Position the addresses exactly - for integrated labels","Розмістіть адреси точно - для інтегрованих міток"
"Position the message box exactly","Розмістіть вікно повідомлення точно"
"Positionable box position","Позиціонується положення коробки"
"Pre-cells","попередньо клітини"
"Price column title","Ціна Назва колонки"
"Price position","позиція Ціна"
"Price X-pos.","Ціна X-поз."
"Prices","ціни"
"Prices converted from","Ціни перетворюються з"
"Print All?","Друкувати все?"
"Print barcode in separate line?","Друк штрих-коду в окремому рядку?"
"Print Condition","Друк Стан"
"Print Credit Memos?","Друк кредитових авізо?"
"Print Invoices?","Друк рахунків-фактур?"
"Print orders once only?","Друк замовлень тільки один раз?"
"Print Packingslips?","Друк Packingslips?"
"Print products label after address label?","Друкована продукція лейбла після того, як адресу етикетки?"
"Print resolution","дозвіл друку"
"Print Shipping Labels?","Друк етикетки Доставка товару?"
"Print supplier attribute?","атрибут друку постачальником?"
"Priority of custom attribute grouping","Пріоритет для користувача атрибут угруповання"
"Process date?","дата процесу?"
"Process orders that include out-of-stock items?","Замовлення процесу, які включають в себе відсутній товар?"
"Processing schedule","графік обробки"
"Product Category Label","Категорія продукту Етикетка"
"Product discount title","знижка продукту назву"
"Product discount title?","Продукт знижка назва?"
"Product gift message xpos","подарунок продукту повідомлення XPOS"
"Product id below barcode font-size","Ідентифікатор продукту нижче штрих-коду розміру шрифту"
"Product images?","Зображення продукту?"
"Product line nudge","Лінійка продуктів підштовхування"
"Product line total title","Виробнича лінія Загальна назва"
"Product line total title?","Лінія продуктів Загальна назва?"
"Product list sort direction :","Продукт напрямок сортування списку:"
"Product list titlebar padding bot","Список продуктів Titlebar оббивка бота"
"Product list titlebar padding top","Список продуктів Titlebar оббивка зверху"
"Product Name","Назва продукту"
"Product name position","Позиція Назва продукту"
"Product name X-pos.","Назва X-поз."
"Product name?","Назва продукту?"
"Product names or attributes contain non-roman characters?","Назви продуктів або атрибути містять нелатинські символи?"
"Product Options : Size","Параметри продукту: Розмір"
"Product options?","Варіанти продукту?"
"Product Price x","Продукт Ціна х"
"Product SKU barcode?","Артикул штрих-код?"
"Product SKU below barcode font-size","SKU продукту нижче штрих-коду розміру шрифту"
"Product SKU below barcode?","SKU продукту нижче штрих-код?"
"Product weight?","Вага продукту?"
"Product-price Multiplier","Продукт-ціна тиражування"
"Pull from custom attribute","Витягніть з призначеного для користувача атрибуту"
"Purchase order #?","Замовлення на придбання #?"
"Put in separate column","Введена в окремій колонці"
"Puts in total weight, shipping carrier, payment method","Кладе в загальній вазі, доставка носія, спосіб оплати"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","Q (Кол-зліва корабель), s (Кількість поставляється), про (Кількість в замовленні)"
"Qty column title","Кількість в заголовку стовпця"
"Qty invoiced","Кількість виставлений рахунок"
"Qty left to ship","К-вліво для того щоб вантажити"
"Qty X-pos.","Кількість X-поз."
"Quote all values in CSV exports?","Цитувати все значення в експорті CSV?"
"Recalculate","перераховувати"
"Recommend for long SKU","Рекомендується для тривалого SKU"
"Reformat address?","Переформатування адреса?"
"Reformat?","Переформатування?"
"Regular","регулярне"
"Remove accents from letters in address?","Видалити з акцентів букв в адресі?"
"Remove product tax from subtotal?","Видалити податок продукту з підсумку?"
"Remove shipping tax from","Видалити доставки податок з"
"Remove shipping tax from subtotal?","Видалити доставки податок від результату?"
"Remove shipping tax from tax","Видалити доставки податок від податку"
"Repeat gift message?","Повторіть подарунок повідомлення?"
"Replace Default ERP Invoice with pickPacks?","Замінити За замовчуванням ERP-фактуру з pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","Замінити За замовчуванням ERP пакувальний лист з однією з pickPack?"
"Reset","скидання"
"Return address","Зворотня адреса"
"return address - Default","зворотну адресу - За замовчуванням"
"return address - Group 1","Зворотна адреса - Група 1"
"return address - Group 2","Зворотна адреса - Група 2"
"return address - Group 3","Зворотна адреса - Група 3"
"Return Address Label : Color","Зворотна адреса Етикетка: Колір"
"Return Address Label : Font","Зворотна адреса Етикетка: Шрифт"
"Return Address Label : Size","Зворотна адреса Метка: Розмір"
"Return Address Label : Style","Зворотна адреса Етикетка: Стиль"
"Return address text","Повернутися Текст адреса"
"Right","правий"
"Right Margin X","Праве поле X"
"Rotate <b>autoCN22</b> page?","Поворот <B> autoCN22 </ b> сторінка?"
"Rotate entire label?","Поверніть всю етикетку?"
"Rotate label?","Поворот ярлик?"
"Rotate Product list","Обертаючи список товарів"
"Rotate return address?","Поворотом зворотну адресу?"
"Rotate?","Поворот?"
"Round cost by ? decimal places","Круглий вартість повз? знаків після коми"
"Round custom attribute numbers?","Круглі призначені для користувача номера атрибутів?"
"Round weight by ? decimal places","Круглий вага шляхом? знаків після коми"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","Округлення до 2-х знаків після коми може працювати найкращим чином для відображення цін <br /> <я> За замовчуванням: Ні. </ I>"
"Rule 1?","Правило 1?"
"Rule 2?","Правило 2?"
"Rules are processed in order from low to high priority numbers.<br/>","Правила обробляються в порядку від низького до високого пріоритету чисел. <br/>"
"Scale Shipping Labels","Шкала Маркування вантажів"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","Бачачи тофу: <б стиль = "розмір шрифту: 200%; накреслення шрифту: 100; дисплей: вбудований; положення: відносна; зверху: 5px;"> & # 9647; </ b>?"
"Select Order Attribute To Update","Виберіть Order Атрибут оновити"
"Separate multiple matches by comma.'","Розділіть декілька матчів через кому "."
"Seperator 1?","Seperator 1?"
"Seperator 2?","Seperator 2?"
"Server Name","ім'я сервера"
"Set in 'Shipping Labels' section","Встановити в розділі "Доставка Ярлики""
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","Встановити в розділі <br "доставка Ярликі" /> Увімкніть цю опцію, щоб показати, наприклад. Royal Mail ІЦВ етикетки"
"Set Internal Printed Flag?","Встановити внутрішній Друкований прапор?"
"Set the currency symbol","Встановити символ валюти"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","Встановіть Low, щоб зберегти розмір файлу низький (але фонове зображення розмите), встановлений високий, щоб отримати чіткий фон (і більший розмір файлу)"
"Settings File","параметри файлу"
"Shelving attribute","атрибут Стелаж"
"Shelving position","Стелаж положення"
"Shelving Xpos","Стелаж XPOS"
"Shift Bundle Children Xpos","Зрушення Bundle Діти XPOS"
"Ship Date","Дата відвантаження"
"shipEasy Connection","shipEasy з'єднання"
"shipEasy Connection","shipEasy з'єднання"
"shipEasy flag column #","shipEasy колонка прапор #"
"shipEasy flag value?","Значення прапора shipEasy?"
"Shipping Address","Адреса доставки"
"Shipping address padding","Адреса для доставки оббивка"
"Shipping address phone?","Адреса для доставки телефону?"
"Shipping address title","Назва Адреса доставки"
"Shipping Date?","Дата відправлення?"
"Shipping Image #1","Доставка Зображення # 1"
"Shipping Image #2","Доставка Зображення # 2"
"Shipping Image #3","Доставка Зображення # 3"
"Shipping Labels","маркування вантажів"
"Shipping Method (Default)","Спосіб доставки (за замовчуванням)"
"Shipping method?","Метод доставки?"
"Shipping options?","Варіанти доставки?"
"Shipping Type","доставка Тип"
"Shipping/Billing Title : Style","Доставка / Billing Назва: Стиль"
"Shipping/Billing title position","Доставка / Платіжна позиція в заголовку"
"Show","шоу"
"Show 'Allowance'?","Show 'Резерв'?"
"Show 'Message B' for this group :","Show 'Повідомлення B' для цієї групи:"
"Show 'Message B' for this group :","Show 'Повідомлення B' для цієї групи:"
"Show 'Packed 2 by' note?","Показати 'Упаковані 2 по' зазначити?"
"Show 'Packed by' note?","Show "упакований" до відома?"
"Show 'Packed by' note?","Show "упакований" до відома?"
"Show 'total item count'?","Show 'Загальна кількість елементів "?"
"Show 'total order count'?","Показує "загальна кількість замовлення?"
"Show 'total paid'?","Show 'загальна сума виплат?"
"Show 'total shipping paid'?","Show 'загальна доставка оплачується?"
"Show 'Total Taxed Product Value'?","Show 'Total відкупних Value продукту?"
"Show 'Total UnTaxed Product Value'?","Show 'Total Value неоподатковуваних продукту?"
"Show #Order or #Invoice","Показати або #Invoice # Замовити"
"Show 0 qty items?","Показати 0 кількість пунктів?"
"Show 2nd attribute?","Показати 2-й атрибут?"
"Show 2nd order custom attribute?","Показати 2-го порядку для користувача атрибут?"
"Show 2nd Order ID?","Показати 2-го порядку ID?"
"Show 2nd qrcode?","Показати 2-й QRCode?"
"Show 2nd?","Показати 2-е місце?"
"Show 3rd attribute?","Показати 3-й атрибут?"
"Show address in product label?","Показати адресу в етикетці продукту?"
"Show advanced options?","Показати додаткові опції?"
"Show Aitoc Checkout Fields?","Показати AITOC Checkout Fields?"
"Show Amasty Order Attributes?","Показати Amasty Замовити Атрибути?"
"Show Amasty order delivery date?","Показати Amasty дату доставки замовлення?"
"Show another attribute?","Показати інший атрибут?"
"Show as Icon?","Показати як Icon?"
"Show attribute titles?","Показати атрибут назви?"
"Show barcode SKU?","Показати штрих-код SKU?"
"Show Base Currency values in Subtotals?","Показати базові значення валют у подитогамі?"
"Show BetaBoxes?","Показати BetaBoxes?"
"Show billing address at top?","Показати адресу для виставлення рахунку на вершині?"
"Show billing address?","Показати платіжний адресу?"
"Show billing phone under shipping address ?","Показати платіжний телефон за адресою доставки?"
"Show billing phone?","Показати платіжний телефон?"
"Show Box 1?","Показати Box 1?"
"Show Box 2?","Показати Box 2?"
"Show Box 3?","Показати Box 3?"
"Show box estimation?","Показати оцінку коробки?"
"Show brackets around tax?","Показати дужки податку?"
"Show bundle parent?","Показати розшарування батьків?"
"Show bundle parents?","Показати розшарування батьків?"
"Show bundle product children?","Показати розшарування дітей продукції?"
"Show column titles?","Показувати заголовки стовпців?"
"Show cost subtotal?","Показати вартість підсумку?"
"Show Currency Exchange Rate in Subtotals?","Показати валюти Курс в подитогамі?"
"Show custom attribute?","Показати користувальницький атрибут?"
"Show custom barcode?","Показати призначені для користувача штрих-код?"
"Show custom product attribute (2)?","Показати атрибут користувальницького продукту (2)?"
"Show custom product attribute (3)?","Показати атрибут користувальницького продукту (3)?"
"Show custom product attribute (4)?","Показати атрибут користувальницького продукту (4)?"
"Show custom product attribute?","Показати користувальницький атрибут продукту?"
"Show custom product attributes?","Показати атрибути користувальницьких продуктів?"
"Show custom product options?","Показати призначені для користувача параметри продукції?"
"Show custom qrcode?","Показати призначений для користувача QRCode?"
"Show customer email?","Показати електронну пошту клієнта?"
"Show customer group?","Показати групу клієнтів?"
"Show customer ID?","Показати ідентифікатор клієнта?"
"Show customer phone?","Показати телефон клієнта?"
"Show customer VAT number?","Показати клієнтів номер ПДВ?"
"Show custommer comment?","Показати Custommer коментар?"
"Show date printed?","Показати дату друкується?"
"Show deadline text / date?","Показати крайній текст / дата?"
"Show discount?","Показати знижку?"
"Show discounts in order subtotal","Показати знижки в порядку проміжний підсумок"
"Show discounts in order subtotal'","Показати знижки в порядку підсумку '"
"Show discounts where?","Показати знижки, де?"
"Show discounts?","Показати знижки?"
"Show Earned Points?","Показати Зароблені очки?"
"Show extended info line?","Показати розширену інформаційну лінію?"
"Show extra shipping details?","Показати додаткові деталі доставки?"
"Show fixed text?","Показати фіксований текст?"
"Show fixed-text for non-Store-Pickup orders?","Показати фіксованою текст для немагазінной-Самовивезення замовлень?"
"Show for bundle children?","Показати для розшарування дітей?"
"Show full payment?","Показати повну компенсацію?"
"Show gift message title 'to/from'","Показати повідомлення подарунок назва 'в / з'"
"Show gift message?","Показати повідомлення подарунок?"
"Show gift messages?","Показати повідомлення дар?"
"Show gift wrap message?","Показати підсумкове повідомлення подарунок?"
"Show gift wrap style?","Показати подарунок обгорткового стиль?"
"Show giftwrap label?","Показати мітку загортати в подарункову упаковку?"
"Show Grand Total?","Показати Grand Total?"
"Show icon top-of-page for wrap orders?","Показувати значок топ-сторінки для замовлень обгортки?"
"Show invoiced date?","Показати виставленням дати?"
"Show items count?","Показувати кількість пунктів?"
"Show logo on Pick Lists?","Показати логотип в списках вибору?"
"Show logo on picklists?","Показати логотип на picklists?"
"Show mageworld order delivery date?","Показати mageworld дату доставки замовлення?"
"Show Mageworx Multifees?","Показати Mageworx Multifees?"
"Show movable Order ID?","Показати рухоме ID замовлення?"
"Show name?","Показати ім'я?"
"Show on line item' can help reduce customs fees","Показати на позиції "може допомогти зменшити митні збори"
"Show order column titles?","Показати заголовки стовпців порядку?"
"Show order comments?","Показати коментарі замовлення?"
"Show order custom attribute?","Показати замовлення для користувача атрибут?"
"Show order date?","Показати дату замовлення?"
"Show order gift message?","Показати подарунок повідомлення замовлення?"
"Show Order Grand Total","Показати замовлення Grand Total"
"Show Order ID (above address)?","Показати код замовлення (вище адресу)?"
"Show Order ID above address?","Показати ідентифікатор замовлення вище адресу?"
"Show Order ID barcode?","Показати ідентифікатор замовлення штрих-код?"
"Show Order ID barcodes?","Показати ідентифікатор замовлення штрих-коди?"
"Show Order ID in product label?","Показати ідентифікатор замовлення в етикетці продукту?"
"Show Order ID?","Показати ідентифікатор замовлення?"
"Show Order IDs?","Показати ідентифікатори замовлення?"
"Show order number?","Показати номер замовлення?"
"Show Order Subtotals?","Показати замовлення подитогамі?"
"Show Order Tax Total","Показати тягло замовлення Всього"
"Show Order Total (no Tax)","Показати Загальна сума замовлення (без Tax)"
"Show page title bar?","Показати рядок заголовка сторінки?"
"Show parent product name","Показати ім'я батьківського продукту"
"Show payment method?","Показати спосіб оплати?"
"Show phone numbers?","Показати номери телефонів?"
"Show pickup date/time on same line?","Відображення дати / часу зйомки на одній лінії?"
"Show Point Discount?","Показати точки Знижка?"
"Show Price?","Показати ціну?"
"Show prices?","Показати ціни?"
"Show product gift message?","Показати подарунок повідомлення про продукт?"
"Show Product Gift-Wrap Column?","Виставка продукту Gift-Wrap колонки?"
"Show Product Grand Total","Виставка продукту Grand Total"
"Show Product ID barcode","Показати ідентифікатор продукту штрих-коду"
"Show product ID below barcode?","Показати код продукту нижче штрих-код?"
"Show product images?","Показати зображення продукту?"
"Show product line total?","Показати загальну лінію продукції?"
"Show Product list?","Показати список продуктів?"
"Show product name bold?","Показати назву продукту жирним шрифтом?"
"Show product name?","Показати назву продукту?"
"Show product names?","Показати назви продуктів?"
"Show product options?","Показати варіанти продукту?"
"Show Product qty?","Показати Кількість продукту?"
"Show product sku barcode?","Показати штрих-код продукту СКУ?"
"Show product sku?","Показати коди товарів?"
"Show Product Tax Total","Показати продукт Податковий Всього"
"Show Product Total(no Tax)","Показати загальну продукт (без Tax)"
"Show product type?","Показати тип продукту?"
"Show product-level gift messages?","Показати повідомлення дар продукт рівня?"
"Show purchase order #?","Показати покупку замовити #?"
"Show qty as:","Показати, як Кількість:"
"Show return address?","Показати зворотну адресу?"
"Show Sheet Grand Total with Tax/ without Tax","Показати Sheet Grand Total з податком / без податку"
"Show Sheet Total","Показати Sheet Total"
"Show Sheet Total with Tax/ without Tax","Показати Sheet Total з податком / без податку"
"Show shelving info?","Показати стелажі інформації?"
"Show Ship Grand Total","Показати Корабель Grand Total"
"Show Ship Tax Total","Показати Корабель Податки Разом"
"Show Ship Total (no Tax)","Показати Корабель Total (без Tax)"
"Show shipping address at top?","Показати адресу доставки на вершині?"
"Show shipping address title?","Показати доставки назва адреса?"
"Show shipping address?","Показати адресу доставки?"
"Show shipping carrier?","Показати доставки перевізника?"
"Show shipping method?","Показати спосіб доставки?"
"Show Shipping Price?","Показати вартість доставки?"
"Show Shipping subtotal?","Показати проміжний підсумок доставки?"
"Show shipping warehouse?","Показати доставки склад?"
"Show simple product name","Показати просту назву продукту"
"Show SKU?","Показати SKU?"
"Show Source in subtotal?","Показати Джерело в проміжний підсумок?"
"Show specific attribute?","Показати певний атрибут?"
"Show Spent Points?","Показати Відпрацьовані окуляри?"
"Show stock alert below...","Показати акції попередження нижче ..."
"Show stock alerts?","Показати акції оповіщення?"
"Show stock qty?","Показати наявності Кількість?"
"Show subtotal?","Показати проміжний підсумок?"
"Show Subtotals?","Показати подитогі?"
"Show tax breakdown?","Показати податкову розбивку?"
"Show tax separately?","Показати податок окремо?"
"Show tickbox 2nd?","Показати tickbox 2-й?"
"Show tickbox?","Показати tickbox?"
"Show total discount?","Показати загальну знижку?"
"Show Total Due?","Показати Разом Засоби?"
"Show Total Order","Показати загальну Замовити"
"Show Total Paid?","Показати загальну Paid?"
"Show total shipping?","Показати загальну доставку?"
"Show total tax?","Показати загальну суму податку?"
"Show total weight?","Показати загальна вага?"
"Show tracking number as barcode?","Показати відстежуючи номер як штрих-код?"
"Show tracking number?","Показати ідентифікаційний номер?"
"Show unit price?","Показати ціну за одиницю?"
"Show unit tax Total","Показати блок податок Разом"
"Show unit tax?","Показати одиничний податок?"
"Show which date?","Показати, яка дата?"
"Show which Store-Pickup details?","Показати який магазин-Pickup деталі?"
"Show which value for configurable product names?","Показати, яке значення для конфігуруються назв продуктів?"
"Show which value for product names?","Показати, яке значення для назв продуктів?"
"Show WSA Store-Pickup details?","Показати WSA-магазин PICKUP деталі?"
"Show zero-value discount?","Показати нульовий значення знижку?"
"Show zero-value shipping?","Показати нульовою вартістю вантажу?"
"Show zero-value tax?","Показати податок з нульовим значенням?"
"Show Zipcode barcode?","Показати ZipCode штрих-код?"
"Show?","Показати?"
"Shows item if stock below this; Default: 1","Показує пункт якщо шток нижче цього; За замовчуванням: 1"
"Shows SKU in red if stock below this number","Показує SKU в червоному кольорі, якщо акції нижче цього числа"
"Signature line?","Підпис лінія?"
"Simple product name","Просту назву продукту"
"Simple product name, even in configurable","Просту назву продукту, навіть в конфігурується"
"Size","розмір"
"Size attribute","атрибут Розмір"
"Size X-pos.","Розмір X-поз."
"SKU barcode column title","SKU назву колонки штрих-коду"
"SKU column title","SKU назву колонки"
"SKU position","позиція SKU"
"SKU X-pos.","SKU X-поз."
"SKU?","SKU?"
"Small Image","маленьке зображення"
"Sort bundle children?","Сортування розшарування дітей?"
"Sort by :","Сортувати за :"
"Sort direction :","Напрям сортування:"
"Sort items by :","Сортувати товари по:"
"Sort product lists by :","списки Сортування продукції по:"
"Sort product lists?","списки Сортування продукції?"
"Sort products by :","Сортувати продукти по:"
"Sort Secondary by :","Сортування Вторинний по:"
"Sorting attribute :","Сортування атрибута:"
"Spacer character:","Spacer характер:"
"Specific font-size for Town/State/Zip","Конкретні розмір шрифту для міста / держави / Zip"
"Split &amp; group bundle parents and children/simple-products separately","Split & Amp; групові розшарування батьки і діти / прості продукти окремо"
"Split by logged-in user?","Спліт увійшов в систему користувача?"
"Split PDFs by supplier","Спліт PDF-файлів по виробникам"
"Standard : shipping on left, billing on right","Стандарт: відправка на лівий, виставлення рахунків на право"
"Star specific value?","Зірка конкретне значення?"
"Start from fixed Y-Pos?","Почніть з фіксованою Y-Pos?"
"Start overflow pages where?","Початок сторінки переповнення де?"
"Start with 'From :' to have that a different size","Почніть з "From:", щоб мати, що різний розмір"
"Status","статус"
"Stock alert below...","Фото попередження нижче ..."
"Stock alerts?","оповіщення акції?"
"Stock Filter","фото Фільтр"
"Store","магазин"
"Strip line breaks and commas?","Strip розриви рядків і коми?"
"Strip linebreaks from non-address fields in CSV exports?","Газа з переноси рядків безадресних полів в експорті CSV?"
"Strip linebreaks in gift messages?","Газа в подарункових переноси рядків повідомлень?"
"Strip linebreaks in order comments?","Газа в таріі коментарях до замовлення?"
"Style","стиль"
"Subheadings : Color","Підзаголовки: Колір"
"Subheadings : Font","Підзаголовки: шрифт"
"Subheadings : Size","Підзаголовки: Розмір"
"Subheadings : Style","ПДВ."
"Subsection height","податок"
"Subtotal align","ПДВ."
"Subtotal Labels X-pos","Разом Етикетки X-Pos"
"Subtotal Numbers X-pos","Разом Числа X-полюсна"
"Suggested : [blank] or 'billing details'","Пропоновані: [пробіл] або "платіжну інформацію""
"Suggested : [blank] or 'Ship","Пропонована формулювання: [пробіл] або "Корабель"
"Suggested : [blank] or 'shipping details'","Пропоновані: [пробіл] або "Відомості про доставку""
"Supplier  'login'","Постачальника Логін '"
"Supplier attribute","атрибут Постачальник"
"Supplier options","варіанти Постачальник"
"Supplier username:suppliername","Ім'я користувача Постачальник: SupplierName"
"Switched, billing on donw, shipping on up","Switched, виставлення рахунків на donw, відправка на вгору"
"Switched, billing on left, shipping on right","Switched, виставлення рахунків на лівій, відправка по праву"
"T: ","Т:"
"Take product name from:","Візьміть назва продукту з:"
"Tax column title","Податковий назву колонки"
"Tax display method","Метод Податковий дисплей"
"Tax Incl.","ПДВ."
"Tax Label","податкові етикетки"
"Tax Label Incl.","Податкові етикетки Incl."
"Tax paid?","Податки платять?"
"Teando Delivery Options?","Teando варіанти доставки?"
"Temando Delivery Options?","Temando варіанти доставки?"
"Text","текст"
"Text for 'Packed 2 by' note :","Текст для 'Упакований 2 по' Примітка:"
"Thailand CN22 Label Image","Таїланд CN22 Етикетка Зображення"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","Це потребує <B> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ b> розширення роботи"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","Ця опція буде працювати, якщо ви встановили Подарункова упаковка особливість Magento Enterprise"
"This option will work if you have installed warehouse extension.","Ця опція буде працювати, якщо ви встановили розширення сховища."
"This sets: Packing Sheets, Invoices, Picklists.","Це встановлює: Упаковка Листи, рахунків-фактур, Picklists."
"This will add an info label at the end of every print run.","Це додасть інформаційну етикетку в кінці кожного тиражу."
"This will be added to each order's total weight","Це буде додано до загальної ваги кожного замовлення"
"This will create different pick lists per supplier","Це дозволить створювати різні списки забрати за постачальником"
"This will group all products by their category (useful for outbound customs declarations)","Ця група буде все продукти своєї категорії (корисні для вихідних митних декларацій)"
"This will move the image on each label","Це дозволить переміщати зображення на кожній етикетці"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","Це призведе до уповільнення генерації PDF на багато, так що залишити "Ні", якщо ви насправді не потрібен"
"Thumbnail","ескіз"
"Tickbox 2nd Xpos","Tickbox друга XPOS"
"Tickbox 2nd?","Tickbox 2-й?"
"Tickbox Xpos","Tickbox XPOS"
"Tickbox?","Tickbox?"
"Time","час"
"Tip : Use short title(s) if you choose 'beside'","Порада: Використовуйте коротка назва (и), якщо ви вибираєте 'поруч'"
"Title","назва"
"Title text","текст заголовка"
"Titlebars Bkg Color","Колір Bkg заголовки вікон"
"Today\'s Date","Сьогоднішня дата"
"Top address padding","Топ адреса оббивка"
"Top Left","верхній лівий"
"Top of page","На початок сторінки"
"Top-left Ribbon","У лівому верхньому кутку стрічки"
"Total invoiced items count?","кол Всього виставлено рахунок пунктів?"
"Total items count?","кол Всього товарів?"
"Total order count?","Загальний порядок розраховувати?"
"Total paid column","Всього сплачено колонка"
"Total paid for each SKU?","Всього виплачено по кожному SKU?"
"Total paid?","Всього виплачено?"
"Total price column title","Загальна назва колонки ціни"
"Total product qty title","Загальна назва продукту к-ть"
"Total shipped items count?","Всього кількість занурених деталей?"
"Total shipping paid?","Загальна доставка оплачується?"
"Total weight?","Загальна вага?"
"Tracking number font size","Відстеження розмір шрифту номер"
"Tracking Number?","Відстежуючи номер?"
"Trigger statuses","Trigger статуси"
"Trim long content?","Обрізати довгий зміст?"
"Trim long?","Ображати довго?"
"Trim long SKUs?","Ображати довгі SKUs?"
"Trim Product Name","обрізка Найменування"
"Trim Product Name?","Ображати Ім'я продукту?"
"Trim SKU?","Ображати SKU?"
"Trim?","Ображати?"
"Truncate items to fit in columns?","Обрізати елементи, щоб поміститися в колонках?"
"UK CN22 Label Image","Великобританія CN22 Етикетка Зображення"
"Under product-list message","Під продукт-списку повідомлень"
"Under product-list Message A","Під продукт-A Список повідомлень"
"Under product-list Message B","Під продукт-B Список повідомлень"
"Under shipping details","Під судноплавства"
"Unhold?","Повернення?"
"Unit price column title","Одиниця назву колонки ціни"
"Unit price title","Назва Ціна за одиницю"
"Unit tax title","податок Unit назву"
"Unit tax title?","Розділ податок назва?"
"Update after process","Оновлення після процесу"
"Update Order Attribute","Оновлення замовлення Атрибут"
"Update shipEasy Flag","Оновлення shipEasy Прапор"
"Upload a .ttf or .otf font file","Завантажити файл шрифту .ttf або .otf"
"Upload a .ttf or .otf font file <br />'Font style' settings","Завантажити файл <br .ttf або .otf шрифту /> Налаштування "стиль шрифту""
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","Завантажити файл <br .ttf або .otf шрифту /> Налаштування "стиль шрифту 'ігноруються з користувальницьких шрифтів"
"Upload a .ttf or .otf font file'Font style' settings","Завантажити .ttf або .otf настройки шрифту file'Font стилю '"
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","Завантажити файл <br .ttf або .otf шрифту /> Налаштування "стиль шрифту 'ігноруються з користувальницьких шрифтів"
"Upsize + bold qty, if qty = 2+","Укрупнюються + напівжирний QTY, якщо кількість = 2 +"
"USA CN22 Label Image","США CN22 Етикетка Зображення"
"Use <b>courierRules</b> generated shipping label?","Використовуйте <B> courierRules </ b> генерується відправка етикетки?"
"Use as a way to constrain the address inside a specific label or area","Використання в якості способу для обмеження адреси всередині певної мітки або області"
"Use GFS Shipping Labels?","Використовуйте GFS Маркування вантажів?"
"Use logged-in language","Використовуйте увійшов в мову"
"Use Magento Grand Total?","Використання Magento Grand Total?"
"Use Magento subtotals?","Використовуйте Magento подитогі?"
"Use order storeview language","Використання мови замовлення storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","Використовуйте спільно з "Update shipEasy Прапор '->' Так, Printed '"
"Use what language and when?","Використовуйте те, що мова і коли?"
"Use which image?","Використовуйте яке зображення?"
"Use which?","За допомогою якої?"
"Uses header logo from Packing Sheet","Використання заголовка логотипу з пакувального листа"
"Using One Step Checkout (Magestore) delivery date","Використання One Step Checkout (Magestore) термін поставки"
"Usually goes at page base - handy for QC","Зазвичай йде на сторінці бази - зручно для контролю якості"
